gene_id	gene_name	SRR3214253	SRR3214254	SRR3214255	SRR3214277	SRR3214278	SRR3214279	SRR3214301	SRR3214302	SRR3214303	SRR3214325	SRR3214326	SRR3214327
12437	ENSG00000168824.14	NSG1	17	19	9	10	13	15	23	11	13	11	19	9
12438	ENSG00000168826.16	ZBTB49	20	17	26	40	10	29	50	25	36	13	22	13
12439	ENSG00000168827.15	GFM1	359	33	361	414	134	381	236	91	180	245	249	235
12440	ENSG00000168828.5	OR13J1	0	0	0	0	0	0	0	0	0	0	0	0
12441	ENSG00000168830.8	HTR1E	0	0	0	0	0	0	0	0	0	0	0	0
12442	ENSG00000168843.14	FSTL5	36	0	33	17	0	21	97	10	66	19	20	11
12443	ENSG00000168852.13	TPTE2P5	3	1	3	17	11	7	21	4	18	1	6	3
12444	ENSG00000168872.17	DDX19A	302	35	272	327	94	284	343	169	273	154	299	195
12445	ENSG00000168874.13	ATOH8	13	5	12	10	0	9	27	3	22	19	67	30
12446	ENSG00000168875.3	SOX14	0	1	0	0	0	0	0	0	0	0	0	0
12447	ENSG00000168876.9	ANKRD49	149	11	132	153	47	136	172	84	144	174	92	193
12448	ENSG00000168878.19	SFTPB	28	7	18	2	23	2	36	9	17	9	94	11
12449	ENSG00000168883.20	USP39	532	57	502	390	45	370	318	120	262	252	373	296
12450	ENSG00000168884.15	TNIP2	92	7	103	164	20	130	122	169	99	95	217	105
12451	ENSG00000168887.11	C2orf68	259	28	223	305	124	292	552	264	436	208	315	234
12452	ENSG00000168890.14	TMEM150A	28	1	24	90	13	103	57	39	46	31	73	46
12453	ENSG00000168894.10	RNF181	278	5	266	445	46	446	416	169	325	199	260	224
12454	ENSG00000168899.5	VAMP5	14	1	12	55	0	38	22	11	16	17	26	11
12455	ENSG00000168903.9	BTNL3	0	0	0	0	0	0	0	0	0	0	0	0
12456	ENSG00000168904.15	LRRC28	62	25	69	94	45	85	167	113	121	68	106	78
12457	ENSG00000168906.13	MAT2A	1431	88	1320	1205	149	1071	1196	334	983	903	667	908
12458	ENSG00000168907.13	PLA2G4F	0	0	0	1	9	1	14	1	11	0	1	0
12459	ENSG00000168913.7	ENHO	0	1	1	12	0	13	1	0	2	0	1	0
12460	ENSG00000168916.15	ZNF608	0	5	0	0	7	0	0	0	0	1	2	5
12461	ENSG00000168917.9	SLC35G2	6	2	12	25	12	20	45	24	26	8	30	18
12462	ENSG00000168918.14	INPP5D	1072	110	934	2920	600	2736	2774	309	2236	715	2581	708
12463	ENSG00000168924.15	LETM1	442	29	404	410	76	403	267	89	227	217	413	208
12464	ENSG00000168925.12	CTRB1	1	7	0	0	0	0	0	0	0	0	0	0
12465	ENSG00000168928.13	CTRB2	0	0	0	9	0	10	0	0	0	0	0	0
12466	ENSG00000168930.13	TRIM49	0	0	0	0	0	0	0	0	0	0	0	0
12467	ENSG00000168936.11	TMEM129	60	0	91	296	46	295	249	57	170	101	161	94
12468	ENSG00000168938.6	PPIC	0	0	0	0	0	1	0	0	0	0	0	0
12469	ENSG00000168939.11	SPRY3	13	0	15	26	7	20	8	1	8	11	5	8
12470	ENSG00000168944.16	CEP120	62	5	60	52	15	50	168	50	135	76	72	86
12471	ENSG00000168952.15	STXBP6	0	1	0	0	3	1	0	1	0	0	2	0
12472	ENSG00000168955.4	TM4SF20	4	6	5	1	4	2	5	1	4	0	0	1
12473	ENSG00000168958.20	MFF	292	17	267	466	115	405	204	70	166	208	144	230
12474	ENSG00000168959.14	GRM5	0	0	0	0	6	0	0	0	0	0	0	0
12475	ENSG00000168961.17	LGALS9	744	159	742	2685	643	2541	1020	326	767	511	3227	541
12476	ENSG00000168967.14	PMCHL1	0	5	2	0	5	0	19	7	8	10	6	2
12477	ENSG00000168970.22	JMJD7-PLA2G4B	88	8	88	31	4	9	225	83	169	73	221	51
12478	ENSG00000168992.4	OR7E102P	0	0	0	0	0	0	0	0	0	0	0	0
12479	ENSG00000168993.15	CPLX1	0	0	0	0	0	0	0	13	0	0	1	0
12480	ENSG00000168994.14	PXDC1	0	0	0	52	3	41	0	1	0	0	4	0
12481	ENSG00000168995.13	SIGLEC7	12	0	11	117	27	130	321	50	260	66	194	85
12482	ENSG00000169006.7	NTSR2	0	0	0	0	0	0	0	0	0	0	0	0
12483	ENSG00000169016.17	E2F6	62	0	62	123	6	136	24	40	22	44	31	49
12484	ENSG00000169018.6	FEM1B	268	30	210	1093	212	988	373	57	283	194	219	193
12485	ENSG00000169019.11	COMMD8	65	9	72	64	4	47	51	11	38	44	14	39
12486	ENSG00000169020.10	ATP5ME	841	19	794	1478	40	1387	652	436	510	636	359	682
12487	ENSG00000169021.6	UQCRFS1	682	66	670	775	287	735	363	194	292	367	675	375
12488	ENSG00000169026.12	SLC49A3	1	0	1	19	12	10	0	0	0	0	0	0
12489	ENSG00000169031.20	COL4A3	0	0	0	0	0	0	0	1	0	1	0	1
12490	ENSG00000169032.10	MAP2K1	83	8	79	314	27	292	255	58	197	94	93	104
12491	ENSG00000169035.12	KLK7	3	2	4	3	5	3	6	3	3	5	11	6
12492	ENSG00000169040.14	PMCHL2	7	3	0	9	2	9	38	12	23	0	0	0
12493	ENSG00000169045.17	HNRNPH1	3558	263	3123	4025	670	3470	5079	1898	3803	3854	3006	3793
12494	ENSG00000169047.5	IRS1	11	1	13	230	65	209	21	3	16	30	71	28
12495	ENSG00000169057.23	MECP2	619	75	584	1114	296	1028	961	384	722	319	826	330
12496	ENSG00000169059.12	VCX3A	0	0	0	0	0	0	0	0	0	0	0	0
12497	ENSG00000169062.15	UPF3A	414	61	306	458	155	399	743	194	553	275	530	297
12498	ENSG00000169064.12	ZBBX	0	0	0	0	0	0	0	0	0	0	0	0
12499	ENSG00000169067.4	ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0
12500	ENSG00000169071.15	ROR2	31	5	27	26	5	22	30	27	17	19	25	11
12501	ENSG00000169075.7	Z99496.1	0	0	0	0	0	0	0	0	0	0	0	0
12502	ENSG00000169083.17	AR	3	1	1	23	0	17	5	1	2	1	2	2
12503	ENSG00000169084.15	DHRSX	42	10	31	127	57	122	114	63	122	66	79	49
12504	ENSG00000169085.13	VXN	0	0	0	0	0	0	0	0	0	0	0	0
12505	ENSG00000169087.11	HSPBAP1	139	14	149	154	23	153	170	44	130	154	132	148
12506	ENSG00000169093.16	ASMTL	57	4	64	24	3	23	102	96	59	27	91	27
12507	ENSG00000169100.14	SLC25A6	4602	344	4350	5370	671	5112	4506	1827	3327	3136	4120	3559
12508	ENSG00000169105.8	CHST14	18	0	18	11	4	14	46	11	27	5	9	6
12509	ENSG00000169116.11	PARM1	1	0	0	108	32	103	104	17	101	6	13	10
12510	ENSG00000169118.18	CSNK1G1	364	47	353	640	161	546	282	122	182	225	297	249
12511	ENSG00000169122.11	FAM110B	10	0	11	25	3	25	4	2	3	19	40	26
12512	ENSG00000169126.16	ARMC4	1	2	1	0	4	0	22	2	21	0	4	0
12513	ENSG00000169129.15	AFAP1L2	0	0	0	0	5	0	0	0	0	0	0	0
12514	ENSG00000169131.13	ZNF354A	34	5	24	61	9	32	90	16	77	26	34	25
12515	ENSG00000169136.11	ATF5	1027	213	960	176	79	174	370	1029	290	791	1780	851
12516	ENSG00000169139.12	UBE2V2	280	41	240	474	123	439	250	69	167	223	145	243
12517	ENSG00000169154.7	GOT1L1	0	0	0	0	0	0	0	0	0	0	0	0
12518	ENSG00000169155.10	ZBTB43	243	10	198	573	92	527	226	131	181	153	170	145
12519	ENSG00000169164.7	AL159987.1	0	0	0	0	0	0	0	1	0	0	0	0
12520	ENSG00000169169.14	CPT1C	28	32	28	28	59	28	203	48	143	24	66	39
12521	ENSG00000169174.11	PCSK9	0	0	0	0	2	0	0	0	0	0	0	0
12522	ENSG00000169180.11	XPO6	807	74	777	827	164	788	976	355	791	471	1012	446
12523	ENSG00000169181.13	GSG1L	0	0	0	46	0	35	0	1	0	1	0	0
12524	ENSG00000169184.6	MN1	4	0	6	8	4	12	15	0	5	4	3	0
12525	ENSG00000169188.5	APEX2	132	26	120	246	40	190	122	70	85	59	253	75
12526	ENSG00000169189.17	NSMCE1	127	12	121	306	32	273	205	26	163	93	198	111
12527	ENSG00000169193.12	CCDC126	11	0	10	51	1	79	44	4	23	32	5	25
12528	ENSG00000169194.9	IL13	0	0	0	0	0	0	0	0	0	0	0	0
12529	ENSG00000169203.16	NPIPB12	621	305	654	819	184	646	1952	1310	1341	611	2292	681
12530	ENSG00000169208.2	OR10G3	29	37	19	39	72	32	131	90	78	32	34	26
12531	ENSG00000169213.7	RAB3B	6	4	7	23	20	14	41	33	29	15	23	11
12532	ENSG00000169214.4	OR6F1	0	0	0	0	0	0	0	0	0	0	0	0
12533	ENSG00000169217.9	CD2BP2	186	9	178	925	109	863	443	189	311	115	335	131
12534	ENSG00000169218.14	RSPO1	0	0	0	0	3	0	0	0	0	0	0	0
12535	ENSG00000169220.18	RGS14	117	11	106	390	33	340	867	89	649	210	745	220
12536	ENSG00000169221.14	TBC1D10B	300	178	324	701	357	657	855	403	623	315	2134	312
12537	ENSG00000169223.15	LMAN2	746	54	667	1620	118	1484	1086	275	800	446	575	437
12538	ENSG00000169224.13	GCSAML	2	0	2	0	1	0	1	0	1	14	20	7
12539	ENSG00000169228.14	RAB24	112	10	119	112	3	134	339	49	300	143	165	101
12540	ENSG00000169230.10	PRELID1	1181	194	1113	903	219	822	1459	379	1078	1003	1882	1070
12541	ENSG00000169231.13	THBS3	18	3	12	213	10	212	103	23	73	29	53	33
12542	ENSG00000169239.13	CA5B	185	106	159	406	187	310	660	180	499	170	506	207
12543	ENSG00000169241.19	SLC50A1	162	16	159	491	85	451	188	83	169	128	114	141
12544	ENSG00000169242.12	EFNA1	0	0	0	51	0	46	0	0	0	0	0	0
12545	ENSG00000169245.6	CXCL10	0	0	0	0	1	0	0	1	0	0	0	0
12546	ENSG00000169246.16	NPIPB3	1327	53	1035	1149	244	1184	2059	1540	1617	1148	2352	1243
12547	ENSG00000169247.13	SH3TC2	9	12	13	4	10	4	27	38	25	9	25	17
12548	ENSG00000169248.13	CXCL11	0	0	0	0	0	0	0	0	0	0	0	0
12549	ENSG00000169249.12	ZRSR2	52	10	53	161	62	149	187	58	131	51	210	61
12550	ENSG00000169251.12	NMD3	360	45	310	475	73	469	365	94	288	292	113	284
12551	ENSG00000169252.5	ADRB2	34	6	27	177	41	183	100	13	73	19	16	15
12552	ENSG00000169253.3	AL669983.1	0	0	0	0	0	0	0	0	0	0	0	0
12553	ENSG00000169255.15	B3GALNT1	10	3	11	4	5	4	40	10	28	9	5	6
12554	ENSG00000169258.7	GPRIN1	1	0	2	55	6	47	6	16	3	1	1	5
12555	ENSG00000169271.3	HSPB3	0	0	0	0	0	0	0	0	0	0	0	0
12556	ENSG00000169282.17	KCNAB1	0	1	1	0	5	0	0	16	0	0	1	0
12557	ENSG00000169288.18	MRPL1	165	5	160	97	0	94	21	11	13	90	35	73
12558	ENSG00000169291.10	SHE	12	39	12	7	30	4	59	30	41	9	33	14
12559	ENSG00000169297.8	NR0B1	0	0	0	0	0	0	0	0	0	0	0	0
12560	ENSG00000169299.14	PGM2	324	26	307	738	147	703	412	91	296	303	226	322
12561	ENSG00000169302.16	STK32A	1	0	1	0	0	0	7	0	3	2	3	0
12562	ENSG00000169306.10	IL1RAPL1	0	0	0	4	0	1	7	0	2	0	0	0
12563	ENSG00000169313.10	P2RY12	0	0	0	0	0	0	0	0	0	0	0	0
12564	ENSG00000169314.15	C22orf15	0	0	0	0	0	0	0	0	0	0	0	0
12565	ENSG00000169325.10	GUSBP12	0	0	0	0	0	0	0	0	0	0	0	0
12566	ENSG00000169327.5	OR5AU1	12	25	14	30	24	33	57	39	51	13	57	10
12567	ENSG00000169330.9	MINAR1	18	0	16	49	16	37	51	7	30	6	19	11
12568	ENSG00000169340.10	PDILT	0	4	4	3	4	5	10	6	3	1	7	0
12569	ENSG00000169344.15	UMOD	0	0	0	0	3	0	14	2	8	0	0	0
12570	ENSG00000169347.17	GP2	2	0	0	0	1	0	6	10	6	0	2	1
12571	ENSG00000169359.16	SLC33A1	434	76	434	995	303	987	498	157	370	315	601	329
12572	ENSG00000169371.14	SNUPN	142	11	110	117	68	162	147	98	106	111	182	121
12573	ENSG00000169372.13	CRADD	16	4	20	53	10	47	20	2	12	23	24	13
12574	ENSG00000169375.16	SIN3A	611	96	628	1030	277	937	862	270	640	478	803	500
12575	ENSG00000169379.16	ARL13B	47	7	34	30	11	29	69	38	54	40	80	56
12576	ENSG00000169385.3	RNASE2	464	33	435	17	12	8	5	1	7	625	286	725
12577	ENSG00000169393.9	ELSPBP1	0	0	0	0	0	0	0	0	0	0	0	0
12578	ENSG00000169397.3	RNASE3	36	5	42	0	1	0	0	0	0	31	14	35
12579	ENSG00000169398.19	PTK2	24	20	39	24	56	27	38	47	33	50	60	54
12580	ENSG00000169402.15	RSPH10B2	0	3	0	4	2	4	0	4	0	0	2	0
12581	ENSG00000169403.12	PTAFR	147	25	131	195	41	219	431	460	334	377	528	371
12582	ENSG00000169410.10	PTPN9	86	14	93	400	64	396	311	110	234	129	166	89
12583	ENSG00000169413.3	RNASE6	28	4	28	59	32	54	71	11	55	101	274	124
12584	ENSG00000169418.10	NPR1	0	1	0	316	39	296	0	3	0	0	0	0
12585	ENSG00000169427.8	KCNK9	2	0	0	1	0	0	0	7	0	0	2	0
12586	ENSG00000169429.11	CXCL8	289	38	256	4514	1000	4076	1634	17681	1211	2073	1670	2099
12587	ENSG00000169432.18	SCN9A	2	1	4	12	3	10	9	1	6	1	4	2
12588	ENSG00000169435.14	RASSF6	3	0	0	4	0	4	48	5	30	4	6	4
12589	ENSG00000169436.17	COL22A1	0	3	0	15	3	12	0	0	0	0	0	0
12590	ENSG00000169439.12	SDC2	3	1	3	1487	149	1323	1	0	0	30	14	27
12591	ENSG00000169442.9	CD52	52	4	56	28142	3021	26068	236	46	131	165	161	143
12592	ENSG00000169446.5	MMGT1	124	8	122	471	147	396	207	67	174	120	155	125
12593	ENSG00000169469.9	SPRR1B	0	0	0	0	0	0	0	0	0	0	0	0
12594	ENSG00000169474.4	SPRR1A	0	0	0	0	0	0	0	0	0	0	0	0
12595	ENSG00000169484.3	OR4K14	0	0	0	0	2	0	0	0	0	0	0	0
12596	ENSG00000169488.6	OR4K15	0	0	0	0	0	0	0	0	0	0	0	0
12597	ENSG00000169490.17	TM2D2	89	5	68	177	25	129	182	47	164	54	72	71
12598	ENSG00000169495.5	HTRA4	14	1	12	15	22	15	40	8	38	15	82	8
12599	ENSG00000169499.15	PLEKHA2	421	55	396	1259	293	1217	732	131	558	337	383	315
12600	ENSG00000169504.15	CLIC4	146	10	130	580	145	546	266	815	226	173	243	181
12601	ENSG00000169507.9	SLC38A11	0	0	0	0	0	0	0	0	0	0	0	0
12602	ENSG00000169508.7	GPR183	163	3	168	17	4	10	10	9	15	525	138	581
12603	ENSG00000169509.6	CRCT1	0	0	0	0	0	0	0	0	0	0	0	0
12604	ENSG00000169515.8	CCDC8	7	0	8	10	4	10	30	6	18	0	4	0
12605	ENSG00000169519.21	METTL15	60	2	65	116	50	77	133	7	92	42	81	61
12606	ENSG00000169548.3	ZNF280A	0	0	0	0	0	0	0	0	0	0	0	0
12607	ENSG00000169550.14	MUC15	0	0	0	0	2	0	0	0	0	0	0	0
12608	ENSG00000169551.12	CT55	0	0	0	2	3	2	0	0	0	0	0	0
12609	ENSG00000169554.21	ZEB2	1285	83	1225	2354	507	2143	715	745	526	1344	1319	1381
12610	ENSG00000169562.12	GJB1	0	0	0	0	0	0	0	0	0	0	0	0
12611	ENSG00000169564.7	PCBP1	1144	207	1139	2878	484	2718	3130	2138	2453	1672	2469	1807
12612	ENSG00000169567.12	HINT1	504	14	499	309	49	267	240	168	190	301	288	299
12613	ENSG00000169570.10	DTWD2	39	22	61	71	35	76	141	51	99	38	71	41
12614	ENSG00000169575.5	VPREB1	0	0	0	0	0	0	0	0	0	0	1	0
12615	ENSG00000169583.13	CLIC3	0	2	0	1	0	0	0	0	0	0	0	0
12616	ENSG00000169592.15	INO80E	328	83	301	317	59	300	583	195	429	277	872	311
12617	ENSG00000169594.13	BNC1	0	0	0	0	0	0	0	0	0	0	0	0
12618	ENSG00000169598.16	DFFB	140	22	123	73	73	80	175	50	123	101	154	88
12619	ENSG00000169599.13	NFU1	68	7	53	215	26	160	74	26	48	51	47	55
12620	ENSG00000169604.19	ANTXR1	5	2	8	34	8	16	12	0	9	4	9	0
12621	ENSG00000169605.7	GKN1	0	0	0	0	0	0	0	0	0	0	0	0
12622	ENSG00000169607.13	CKAP2L	128	29	184	25	5	19	50	27	30	85	105	80
12623	ENSG00000169609.14	C15orf40	320	160	317	535	244	445	803	456	596	313	709	294
12624	ENSG00000169612.4	RAMAC	68	10	79	333	70	303	216	89	150	97	189	84
12625	ENSG00000169618.7	PROKR1	0	0	0	0	0	0	0	0	0	0	0	0
12626	ENSG00000169621.10	APLF	4	2	2	1	10	4	13	15	10	10	13	14
12627	ENSG00000169627.9	BOLA2B	406	95	457	554	7	518	162	55	57	257	381	316
12628	ENSG00000169629.12	RGPD8	5	0	7	239	84	213	8	5	3	4	13	0
12629	ENSG00000169635.10	HIC2	75	2	61	202	25	172	53	20	32	43	130	37
12630	ENSG00000169641.13	LUZP1	178	8	200	890	141	816	205	116	153	100	212	113
12631	ENSG00000169660.16	HEXD	70	5	73	80	13	76	207	51	146	51	132	59
12632	ENSG00000169662.8	BCRP6	0	0	0	0	0	0	0	0	0	0	0	0
12633	ENSG00000169668.11	BCRP2	15	3	3	32	11	25	28	11	23	3	33	12
12634	ENSG00000169676.6	DRD5	0	0	0	0	0	0	0	0	0	0	0	0
12635	ENSG00000169679.15	BUB1	229	15	241	25	2	29	30	6	39	104	74	96
12636	ENSG00000169682.18	SPNS1	250	29	238	455	87	430	423	169	298	213	458	289
12637	ENSG00000169683.8	LRRC45	94	22	80	44	3	29	43	3	31	47	137	46
12638	ENSG00000169684.13	CHRNA5	5	2	7	10	3	6	8	18	13	10	6	10
12639	ENSG00000169688.11	MT1B	0	0	0	0	0	0	0	0	0	0	0	0
12640	ENSG00000169689.15	CENPX	217	25	204	104	18	92	70	21	55	125	229	108
12641	ENSG00000169692.13	AGPAT2	230	16	207	160	25	148	102	64	84	161	166	155
12642	ENSG00000169696.16	ASPSCR1	202	37	183	135	50	142	190	226	137	160	341	160
12643	ENSG00000169704.4	GP9	0	0	0	0	0	0	0	0	0	0	0	0
12644	ENSG00000169710.9	FASN	1747	243	1701	991	195	906	230	161	146	865	3778	1008
12645	ENSG00000169714.17	CNBP	1847	241	1618	2183	452	1944	2014	535	1525	2032	1261	2115
12646	ENSG00000169715.15	MT1E	13	0	11	5	3	8	12	0	9	13	8	13
12647	ENSG00000169717.7	ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0
12648	ENSG00000169718.18	DUS1L	712	199	686	431	104	344	385	233	263	298	1038	337
12649	ENSG00000169727.12	GPS1	387	57	365	412	54	441	532	185	402	270	1041	293
12650	ENSG00000169733.12	RFNG	111	14	122	137	2	123	195	75	154	75	309	79
12651	ENSG00000169738.8	DCXR	513	52	440	290	73	209	396	142	257	242	523	235
12652	ENSG00000169740.14	ZNF32	27	1	26	57	8	62	43	3	36	29	15	23
12653	ENSG00000169744.13	LDB2	0	0	0	0	0	0	0	0	0	0	0	1
12654	ENSG00000169750.9	RAC3	202	36	204	26	10	21	3	8	2	83	172	85
12655	ENSG00000169752.17	NRG4	24	4	21	19	10	13	23	4	12	11	17	6
12656	ENSG00000169756.16	LIMS1	279	48	245	4211	911	3803	598	270	458	542	482	612
12657	ENSG00000169758.13	TMEM266	6	11	3	7	9	7	37	41	31	5	10	6
12658	ENSG00000169760.17	NLGN1	1	0	1	0	0	0	0	1	0	0	1	0
12659	ENSG00000169762.17	TAPT1	146	20	143	422	92	406	183	73	151	123	138	107
12660	ENSG00000169763.15	PRYP3	0	0	0	0	0	0	0	0	0	0	0	0
12661	ENSG00000169764.15	UGP2	274	20	284	440	50	412	407	102	329	343	148	301
12662	ENSG00000169777.6	TAS2R1	0	0	0	0	0	0	0	0	0	0	0	0
12663	ENSG00000169783.12	LINGO1	0	0	0	62	26	66	0	4	0	0	0	0
12664	ENSG00000169789.10	PRY	0	0	0	0	0	0	0	0	0	0	0	0
12665	ENSG00000169800.13	RBMY1F	0	0	0	0	0	0	0	1	0	0	0	0
12666	ENSG00000169807.10	PRY2	0	0	0	0	0	0	0	0	0	0	0	0
12667	ENSG00000169811.8	RBMY1HP	0	0	0	0	0	0	0	0	0	0	0	0
12668	ENSG00000169813.16	HNRNPF	1860	232	1713	1944	384	1723	2268	581	1763	1615	4580	1651
12669	ENSG00000169814.16	BTD	121	42	99	308	111	275	340	136	300	115	302	121
12670	ENSG00000169826.8	CSGALNACT2	223	25	200	702	228	748	368	114	269	233	388	259
12671	ENSG00000169836.5	TACR3	0	0	0	0	0	0	0	0	0	0	0	0
12672	ENSG00000169840.5	GSX1	0	0	0	0	0	0	0	0	0	0	0	0
12673	ENSG00000169849.8	TSPY14P	0	0	0	0	0	0	0	0	0	0	0	0
12674	ENSG00000169851.15	PCDH7	0	2	0	1	2	0	0	1	0	0	1	0
12675	ENSG00000169855.20	ROBO1	0	11	1	0	0	1	8	4	4	0	0	2
12676	ENSG00000169856.9	ONECUT1	0	0	0	0	0	0	7	1	5	0	0	0
12677	ENSG00000169857.8	AVEN	36	1	23	16	0	26	0	3	0	17	15	25
12678	ENSG00000169860.7	P2RY1	7	0	5	3	0	4	0	0	0	6	5	3
12679	ENSG00000169862.19	CTNND2	0	6	0	0	0	0	0	0	0	0	1	0
12680	ENSG00000169871.13	TRIM56	976	133	940	1334	292	1198	2568	1304	1850	985	1532	1018
12681	ENSG00000169876.14	MUC17	0	0	0	0	0	0	0	0	0	0	1	0
12682	ENSG00000169877.10	AHSP	0	0	0	0	0	0	0	0	0	0	0	0
12683	ENSG00000169884.14	WNT10B	9	0	10	45	9	34	2	1	0	0	1	2
12684	ENSG00000169885.10	CALML6	0	0	0	0	1	0	0	1	0	1	0	1
12685	ENSG00000169891.18	REPS2	47	32	35	48	44	42	229	47	160	43	142	31
12686	ENSG00000169894.18	MUC3A	0	3	0	0	0	1	14	7	14	2	1	1
12687	ENSG00000169895.6	SYAP1	409	147	344	691	181	578	573	254	431	356	497	368
12688	ENSG00000169896.18	ITGAM	76	10	80	5659	767	5348	2939	366	2245	295	574	339
12689	ENSG00000169900.8	PYDC1	0	0	0	0	0	0	0	0	0	0	0	0
12690	ENSG00000169902.15	TPST1	4	0	4	59	11	60	1	0	7	2	11	6
12691	ENSG00000169903.7	TM4SF4	0	0	0	0	0	0	0	0	0	0	0	0
12692	ENSG00000169905.12	TOR1AIP2	1220	172	1213	2413	691	2228	1805	572	1326	891	2730	852
12693	ENSG00000169906.5	S100G	0	0	0	0	0	0	0	0	0	0	0	0
12694	ENSG00000169908.12	TM4SF1	0	4	0	39	5	39	2	0	0	0	0	0
12695	ENSG00000169914.6	OTUD3	162	68	133	144	42	96	279	76	214	100	196	126
12696	ENSG00000169918.9	OTUD7A	0	0	0	0	0	0	0	1	0	0	0	0
12697	ENSG00000169919.17	GUSB	631	104	569	1651	259	1552	1343	393	1088	434	685	427
12698	ENSG00000169925.17	BRD3	361	54	337	279	68	259	535	100	433	231	868	238
12699	ENSG00000169926.11	KLF13	654	45	661	1127	228	958	2143	622	1607	673	2158	795
12700	ENSG00000169933.15	FRMPD4	0	0	0	0	0	1	0	1	0	0	0	0
12701	ENSG00000169946.14	ZFPM2	7	0	3	9	1	9	4	2	2	2	5	1
12702	ENSG00000169951.9	ZNF764	96	18	70	155	25	142	172	57	135	44	86	57
12703	ENSG00000169953.12	HSFY2	0	0	0	0	0	0	0	0	0	0	0	0
12704	ENSG00000169955.7	ZNF747	128	29	111	267	76	222	171	61	147	63	69	58
12705	ENSG00000169957.10	ZNF768	207	22	171	297	77	274	387	166	316	132	452	127
12706	ENSG00000169962.5	TAS1R3	0	0	0	0	0	0	0	4	0	0	0	0
12707	ENSG00000169964.8	TMEM42	37	1	32	26	8	35	72	11	60	21	75	29
12708	ENSG00000169967.16	MAP3K2	346	23	327	2255	535	1998	995	266	756	429	484	477
12709	ENSG00000169972.12	PUSL1	46	0	45	44	7	44	26	30	27	28	81	34
12710	ENSG00000169976.7	SF3B5	326	55	315	327	78	316	308	160	235	248	355	207
12711	ENSG00000169981.11	ZNF35	46	2	39	122	30	110	62	21	54	45	35	34
12712	ENSG00000169989.3	TIGD4	1	0	0	0	0	0	0	0	0	0	0	1
12713	ENSG00000169991.11	IFFO2	7	4	4	9	0	9	2	11	0	8	30	12
12714	ENSG00000169992.10	NLGN2	0	0	0	29	22	30	3	1	0	1	3	1
12715	ENSG00000169994.18	MYO7B	3	4	5	354	56	282	0	6	0	5	12	0
12716	ENSG00000170004.17	CHD3	823	78	751	446	72	412	1116	349	879	524	1537	543
12717	ENSG00000170006.12	TMEM154	162	25	173	483	90	467	782	299	580	204	239	246
12718	ENSG00000170011.14	MYRIP	0	0	0	0	0	0	4	0	3	0	0	0
12719	ENSG00000170017.12	ALCAM	197	17	186	5991	995	5355	416	136	317	108	100	120
12720	ENSG00000170027.7	YWHAG	947	80	838	3178	873	2699	900	425	672	704	1197	686
12721	ENSG00000170035.16	UBE2E3	93	5	70	151	44	124	41	33	43	43	121	60
12722	ENSG00000170037.14	CNTROB	287	33	236	154	34	162	95	63	67	119	295	121
12723	ENSG00000170043.12	TRAPPC1	122	66	117	251	74	236	297	145	257	147	1029	156
12724	ENSG00000170044.8	ZPLD1	0	0	0	0	1	0	2	1	1	0	1	0
12725	ENSG00000170049.9	KCNAB3	12	1	5	3	0	2	23	8	14	8	41	9
12726	ENSG00000170054.15	SERPINA9	0	0	0	0	0	0	0	0	0	0	0	0
12727	ENSG00000170074.19	FAM153A	8	4	9	22	11	15	6	20	3	7	25	8
12728	ENSG00000170075.9	GPR37L1	6	13	4	15	15	17	30	43	14	14	30	14
12729	ENSG00000170085.18	SIMC1	190	21	148	72	43	71	135	24	82	117	150	98
12730	ENSG00000170088.14	TMEM192	450	96	402	592	144	511	545	320	403	294	310	317
12731	ENSG00000170089.15	AC106795.1	253	21	266	297	58	208	252	6	71	100	116	73
12732	ENSG00000170091.11	NSG2	0	0	1	0	2	0	0	1	0	0	0	0
12733	ENSG00000170092.14	SPDYE5	0	0	0	0	4	1	12	337	11	2	0	0
12734	ENSG00000170099.6	SERPINA6	0	0	0	0	0	0	0	0	0	0	0	0
12735	ENSG00000170100.13	ZNF778	23	3	31	64	11	58	60	22	29	28	46	21
12736	ENSG00000170113.16	NIPA1	30	1	30	31	10	24	49	13	47	21	65	23
12737	ENSG00000170122.5	FOXD4	3	1	2	11	0	8	13	4	10	0	17	0
12738	ENSG00000170128.5	GPR25	0	0	0	0	0	0	0	0	0	0	0	0
12739	ENSG00000170142.12	UBE2E1	406	18	376	732	58	704	314	459	225	338	115	341
12740	ENSG00000170144.20	HNRNPA3	3367	391	3085	2469	567	2345	1988	677	1488	1989	1771	1957
12741	ENSG00000170145.5	SIK2	200	50	143	604	178	558	414	204	339	93	276	95
12742	ENSG00000170152.5	AL391987.1	0	0	0	0	0	0	0	0	0	0	0	0
12743	ENSG00000170153.11	RNF150	0	0	0	0	0	1	0	3	0	0	0	0
12744	ENSG00000170160.17	CCDC144A	23	3	23	60	21	69	26	52	25	45	24	47
12745	ENSG00000170161.7	AL512625.1	13	1	18	26	12	17	7	9	0	2	6	3
12746	ENSG00000170162.14	VGLL2	0	0	0	0	0	0	0	0	0	0	0	0
12747	ENSG00000170166.6	HOXD4	0	0	0	0	0	0	0	1	0	0	0	0
