Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),induction,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Time
SRR3214315,RNA-Seq,86,1439399286,PRJNA314802,SAMN04543644,614521590,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX1621780,GSM2084433,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:43:00Z,1,GSM2084433,Monocyte,SRP071547,12 hr
SRR3214316,RNA-Seq,86,1235746556,PRJNA314802,SAMN04543645,540472576,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1621781,GSM2084434,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:41:00Z,1,GSM2084434,Monocyte,SRP071547,24 hr
SRR3214317,RNA-Seq,86,1052063026,PRJNA314802,SAMN04543646,465099678,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX1621782,GSM2084435,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:41:00Z,1,GSM2084435,Monocyte,SRP071547,24 hr
SRR3214318,RNA-Seq,86,1001680614,PRJNA314802,SAMN04543647,427439575,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1621783,GSM2084436,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:38:00Z,1,GSM2084436,Monocyte,SRP071547,24 hr
SRR3214319,RNA-Seq,86,1884815732,PRJNA314802,SAMN04543648,825721869,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1621784,GSM2084437,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:40:00Z,1,GSM2084437,Monocyte,SRP071547,48 hr
SRR3214320,RNA-Seq,86,1228934754,PRJNA314802,SAMN04543649,536737998,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX1621785,GSM2084438,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:40:00Z,1,GSM2084438,Monocyte,SRP071547,48 hr
SRR3214321,RNA-Seq,86,890634662,PRJNA314802,SAMN04543650,377907672,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1621786,GSM2084439,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:37:00Z,1,GSM2084439,Monocyte,SRP071547,48 hr
SRR3214322,RNA-Seq,86,1686184972,PRJNA314802,SAMN04543651,746169897,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1621787,GSM2084440,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:38:00Z,1,GSM2084440,Monocyte,SRP071547,96 hr
SRR3214323,RNA-Seq,86,1973670760,PRJNA314802,SAMN04543652,846447314,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1621788,GSM2084441,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:36:00Z,1,GSM2084441,Monocyte,SRP071547,96 hr
SRR3214324,RNA-Seq,86,1463961316,PRJNA314802,SAMN04543653,630257895,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1621789,GSM2084442,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:28:00Z,1,GSM2084442,Monocyte,SRP071547,96 hr
SRR3214325,RNA-Seq,86,997310524,PRJNA314802,SAMN04543654,436596651,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1621790,GSM2084443,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:27:00Z,1,GSM2084443,Monocyte,SRP071547,120 hr
SRR3214326,RNA-Seq,86,2051618494,PRJNA314802,SAMN04543655,851947202,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX1621791,GSM2084444,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:28:00Z,1,GSM2084444,Monocyte,SRP071547,120 hr
SRR3214327,RNA-Seq,86,1037753658,PRJNA314802,SAMN04543656,438961372,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1621792,GSM2084445,Vitamin D3,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:23:00Z,1,GSM2084445,Monocyte,SRP071547,120 hr
SRR3214328,RNA-Seq,86,1637179334,PRJNA314802,SAMN04543657,713929905,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1621793,GSM2084446,Vitamin D3+LPS,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:24:00Z,1,GSM2084446,Monocyte,SRP071547,120 hr
SRR3214329,RNA-Seq,86,2047055420,PRJNA314802,SAMN04543658,884627504,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1621794,GSM2084447,Vitamin D3+LPS,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:24:00Z,1,GSM2084447,Monocyte,SRP071547,120 hr
SRR3214330,RNA-Seq,86,1519913174,PRJNA314802,SAMN04543659,643494751,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1621795,GSM2084448,Vitamin D3+LPS,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:23:00Z,1,GSM2084448,Monocyte,SRP071547,120 hr
SRR3214331,RNA-Seq,86,1398011958,PRJNA314802,SAMN04543660,614213635,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1621796,GSM2084449,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:20:00Z,1,GSM2084449,Monocyte-derived Macrophage,SRP071547,123 hr
SRR3214332,RNA-Seq,86,1824498858,PRJNA314802,SAMN04543661,792952729,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1621797,GSM2084450,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:37:00Z,1,GSM2084450,Monocyte-derived Macrophage,SRP071547,123 hr
SRR3214333,RNA-Seq,86,1396500766,PRJNA314802,SAMN04543662,594907606,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX1621798,GSM2084451,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:19:00Z,1,GSM2084451,Monocyte-derived Macrophage,SRP071547,123 hr
SRR3214334,RNA-Seq,86,1705084762,PRJNA314802,SAMN04543664,753811293,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX1621799,GSM2084452,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:20:00Z,1,GSM2084452,Monocyte-derived Macrophage,SRP071547,126 hr
SRR3214335,RNA-Seq,86,1272162998,PRJNA314802,SAMN04543665,552288326,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX1621800,GSM2084453,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:18:00Z,1,GSM2084453,Monocyte-derived Macrophage,SRP071547,126 hr
SRR3214336,RNA-Seq,86,1484761964,PRJNA314802,SAMN04543666,636796229,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX1621801,GSM2084454,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:17:00Z,1,GSM2084454,Monocyte-derived Macrophage,SRP071547,126 hr
SRR3214337,RNA-Seq,86,1377391996,PRJNA314802,SAMN04543667,603253736,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX1621802,GSM2084455,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:17:00Z,1,GSM2084455,Monocyte-derived Macrophage,SRP071547,132 hr
SRR3214338,RNA-Seq,86,1530895460,PRJNA314802,SAMN04543668,666788160,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX1621803,GSM2084456,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:16:00Z,1,GSM2084456,Monocyte-derived Macrophage,SRP071547,132 hr
SRR3214339,RNA-Seq,86,1735224752,PRJNA314802,SAMN04543669,734441482,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX1621804,GSM2084457,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:16:00Z,1,GSM2084457,Monocyte-derived Macrophage,SRP071547,132 hr
SRR3214340,RNA-Seq,86,1348004678,PRJNA314802,SAMN04543574,586505488,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1621805,GSM2084458,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:13:00Z,1,GSM2084458,Monocyte-derived Macrophage,SRP071547,144 hr
SRR3214341,RNA-Seq,86,1294737998,PRJNA314802,SAMN04543633,560927330,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX1621806,GSM2084459,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:14:00Z,1,GSM2084459,Monocyte-derived Macrophage,SRP071547,144 hr
SRR3214342,RNA-Seq,86,1692156468,PRJNA314802,SAMN04543634,711388063,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX1621807,GSM2084460,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:14:00Z,1,GSM2084460,Monocyte-derived Macrophage,SRP071547,144 hr
SRR3214343,RNA-Seq,86,1402169198,PRJNA314802,SAMN04543663,613068417,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX1621808,GSM2084461,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:10:00Z,1,GSM2084461,Monocyte-derived Macrophage,SRP071547,168 hr
SRR3214344,RNA-Seq,86,1326901224,PRJNA314802,SAMN04543635,575924166,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX1621809,GSM2084462,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:11:00Z,1,GSM2084462,Monocyte-derived Macrophage,SRP071547,168 hr
SRR3214345,RNA-Seq,86,1388306428,PRJNA314802,SAMN04543636,589306980,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX1621810,GSM2084463,PMA,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:09:00Z,1,GSM2084463,Monocyte-derived Macrophage,SRP071547,168 hr
SRR3214346,RNA-Seq,86,1458733118,PRJNA314802,SAMN04543637,640319710,GEO,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX1621811,GSM2084464,PMA+LPS,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:09:00Z,1,GSM2084464,Monocyte-derived Macrophage,SRP071547,168 hr
SRR3214347,RNA-Seq,86,1609577978,PRJNA314802,SAMN04543638,702645383,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX1621812,GSM2084465,PMA+LPS,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:07:00Z,1,GSM2084465,Monocyte-derived Macrophage,SRP071547,168 hr
SRR3214348,RNA-Seq,86,1936329302,PRJNA314802,SAMN04543639,818692049,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX1621813,GSM2084466,PMA+LPS,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2017-04-06T00:00:00Z,2016-03-09T19:08:00Z,1,GSM2084466,Monocyte-derived Macrophage,SRP071547,168 hr
