Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of T cell differentiation (GO:0045580)	2/39	0.04018018767214944	0.2429831467511049	0	0	6.647641430250126	21.36805396228198	CBFB;METTL3
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	2/40	0.04207341036083128	0.2529354434633504	0	0	6.472376593658058	20.506685260093647	BCLAF1;NCK1
ciliary basal body-plasma membrane docking (GO:0097711)	3/95	0.042695074578102114	0.2551717322738033	0	0	4.024116847826087	12.69074348027985	PLK4;HAUS3;HAUS1
peptide biosynthetic process (GO:0043043)	4/162	0.043747199921521915	0.2552219297739039	0	0	3.1333492556325133	9.805276525488964	MRPS17;MRPL41;MRPL34;YARS2
translational termination (GO:0006415)	3/96	0.04381737296770677	0.2552219297739039	0	0	3.9806451612903224	12.450362977661495	MRPS17;MRPL41;MRPL34
cortical cytoskeleton organization (GO:0030865)	2/41	0.04399951483798468	0.2552219297739039	0	0	6.306099697404045	19.697585903179565	RAC2;RHOQ
regulation of protein dephosphorylation (GO:0035304)	2/41	0.04399951483798468	0.2552219297739039	0	0	6.306099697404045	19.697585903179565	PPP1R2;HSP90B1
protein maturation (GO:0051604)	3/97	0.04495433646546259	0.2552219297739039	0	0	3.938098404255319	12.216406760060694	LIPT2;PITRM1;CPD
mitochondrial gene expression (GO:0140053)	2/42	0.04595784667580839	0.2552219297739039	0	0	6.148136645962733	18.9364494896981	MRPS17;LARS2
response to UV (GO:0009411)	3/99	0.047272011066646524	0.2552219297739039	0	0	3.8556640625	11.766857824596732	FEN1;METTL3;DHX36
negative regulation of cellular response to hypoxia (GO:1900038)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	HYOU1
radial glial cell differentiation (GO:0060019)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	METTL3
negative regulation of endoplasmic reticulum calcium ion concentration (GO:0032471)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	RAP1GDS1
negative regulation of hematopoietic progenitor cell differentiation (GO:1901533)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	DPF2
regulation of endoplasmic reticulum tubular network organization (GO:1903371)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	RAB3GAP2
regulation of hydrogen peroxide metabolic process (GO:0010310)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	RAC2
regulation of protein lipidation (GO:1903059)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	RAB3GAP2
positive regulation of centriole replication (GO:0046601)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	PLK4
positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway (GO:1902237)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	NCK1
glycolipid transport (GO:0046836)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	NPC2
histone H4-K12 acetylation (GO:0043983)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	MEAF6
signal complex assembly (GO:0007172)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	NCK1
tRNA 3'-end processing (GO:0042780)	1/6	0.04792005971754639	0.2552219297739039	0	0	24.483950617283952	74.3876548622154	TRMT10C
regulation of cell-substrate adhesion (GO:0010810)	2/43	0.04794775980096824	0.2552219297739039	0	0	5.997879109225875	18.21941667990599	RAC2;ARL2
negative regulation of gene expression (GO:0010629)	6/322	0.04867330061111231	0.25774151929822164	0	0	2.3608401193259696	7.135933518855745	MAP2K2;YTHDF2;METTL3;DHX36;EPC1;LSM5
positive regulation of response to biotic stimulus (GO:0002833)	2/45	0.052019786940585684	0.26056880938735855	0	0	5.71833020366893	16.904133839144023	POLR3B;POLR3F
cellular protein localization (GO:0034613)	6/329	0.05298163957711702	0.26056880938735855	0	0	2.3088481788960973	6.782956918702147	VPS29;STX17;ABHD17A;SNX15;ARL1;RAB3GAP2
translational elongation (GO:0006414)	3/104	0.05331830129760637	0.26056880938735855	0	0	3.663861386138614	10.74052041211086	MRPS17;MRPL41;MRPL34
positive regulation of response to stimulus (GO:0048584)	2/46	0.054100649831381506	0.26056880938735855	0	0	5.588085827216262	16.29993829778292	BCLAF1;EEF1E1
positive regulation of cellular metabolic process (GO:0031325)	3/105	0.05457021467916604	0.26056880938735855	0	0	3.6277573529411766	10.550487224934857	LIPT2;ACLY;ACACA
cellular protein metabolic process (GO:0044267)	7/417	0.05503952442176352	0.26056880938735855	0	0	2.1261569731081926	6.1652252969557875	MRPS17;MRPL41;ICMT;VWA1;MRPL34;YARS2;HSP90B1
regulation of transcription by RNA polymerase II (GO:0006357)	25/2206	0.05562781485906211	0.26056880938735855	0	0	1.4665523725986618	4.236975301715788	KDM3B;CBFB;CCNH;PHF20;AHR;AATF;RAI1;BCLAF1;DHX36;DPF2;EPC1;EPC2;DMAP1;BRD8;NCK1;CNBP;KTI12;ELP2;ELP3;ELP4;THAP11;CDK7;MRGBP;SNW1;RHOQ
negative regulation of axon regeneration (GO:0048681)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	CERS2
autophagosome membrane docking (GO:0016240)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	STX17
regulation of CD8-positive, alpha-beta T cell differentiation (GO:0043376)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	CBFB
cation homeostasis (GO:0055080)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	TRPM7
regulation of muscle organ development (GO:0048634)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	CENPF
dolichyl diphosphate biosynthetic process (GO:0006489)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	DOLPP1
dolichyl diphosphate metabolic process (GO:0046465)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	DOLPP1
platelet dense granule organization (GO:0060155)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	BLOC1S3
fatty acid elongation, monounsaturated fatty acid (GO:0034625)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	ELOVL1
fatty acid elongation, polyunsaturated fatty acid (GO:0034626)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	ELOVL1
fatty acid elongation, saturated fatty acid (GO:0019367)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	ELOVL1
fatty acid elongation, unsaturated fatty acid (GO:0019368)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	ELOVL1
regulation of T cell mediated immune response to tumor cell (GO:0002840)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	AHR
G-quadruplex DNA unwinding (GO:0044806)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	DHX36
glutamine transport (GO:0006868)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	SLC38A6
histone H3-K14 acetylation (GO:0044154)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	MEAF6
malate metabolic process (GO:0006108)	1/7	0.05568182139507533	0.26056880938735855	0	0	20.402263374485596	58.923808509108525	FH
regulation of cell cycle process (GO:0010564)	3/106	0.05583617344014826	0.26056880938735855	0	0	3.592354368932039	10.365139866035829	PLK4;YTHDF2;MKI67
small GTPase mediated signal transduction (GO:0007264)	3/106	0.05583617344014826	0.26056880938735855	0	0	3.592354368932039	10.365139866035829	G3BP1;CDK2;SHOC2
epidermal growth factor receptor signaling pathway (GO:0007173)	2/47	0.05621059159637557	0.261123748234072	0	0	5.4636300897170464	15.727879179940697	PDPK1;BRAF
DNA replication (GO:0006260)	3/108	0.0584099159636116	0.26656406411087186	0	0	3.5235714285714286	10.007892846051261	FEN1;POLG2;CDK2
positive regulation of transcription, DNA-templated (GO:0045893)	15/1183	0.0594622753903597	0.26656406411087186	0	0	1.6199729266938172	4.572232963136249	MAP2K2;ELL;CNBP;AHR;AATF;RAI1;CDK7;BCLAF1;SNW1;DHX36;DPF2;EPC1;BRD8;RHOQ;NCK1
organelle assembly (GO:0070925)	7/425	0.059713463561258714	0.26656406411087186	0	0	2.084606183290394	5.87483248398664	PLK4;CENPF;CENPW;YTHDF2;G3BP1;HAUS3;HAUS1
regulation of interferon-beta production (GO:0032648)	2/49	0.060515297221182957	0.26656406411087186	0	0	5.230606581207876	14.671114464026205	POLR3B;POLR3F
response to endoplasmic reticulum stress (GO:0034976)	3/110	0.06103889141154649	0.26656406411087186	0	0	3.4573598130841123	9.667621819331409	HYOU1;HSP90B1;NCK1
adenosine to inosine editing (GO:0006382)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	METTL3
negative regulation of neuron projection regeneration (GO:0070571)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	CERS2
neurotransmitter reuptake (GO:0098810)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	SLC29A1
peptidyl-serine autophosphorylation (GO:0036289)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	MAP2K2
entry of bacterium into host cell (GO:0035635)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	CBLL1
regulation of striated muscle tissue development (GO:0016202)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	CENPF
ribosome disassembly (GO:0032790)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	DENR
RNA secondary structure unwinding (GO:0010501)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	DHX36
snRNA transcription by RNA polymerase III (GO:0042796)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	ELL
leukocyte aggregation (GO:0070486)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	RAC2
macromolecule depalmitoylation (GO:0098734)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	ABHD17A
tRNA aminoacylation for mitochondrial protein translation (GO:0070127)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	YARS2
mitochondrial DNA replication (GO:0006264)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	POLG2
mitochondrial RNA processing (GO:0000963)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	TRMT10C
mitochondrial tRNA processing (GO:0090646)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	TRMT10C
multi-ciliated epithelial cell differentiation (GO:1903251)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	PLK4
protein depalmitoylation (GO:0002084)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	ABHD17A
negative regulation of alpha-beta T cell differentiation (GO:0046639)	1/8	0.06338069234730123	0.26656406411087186	0	0	17.486772486772487	48.23894065290774	CBFB
positive regulation of metabolic process (GO:0009893)	3/113	0.06508446512028683	0.2726078825939883	0	0	3.3625568181818184	9.186738552633344	ACLY;FH;ACACA
regulation of transcription, DNA-templated (GO:0006355)	25/2244	0.06537234501265023	0.27269606776705524	0	0	1.438335586600571	3.9232846483354136	KDM3B;CBFB;CCNH;PHF20;AHR;AATF;RAI1;BCLAF1;DHX36;DPF2;EPC1;EPC2;DMAP1;MAP2K2;CNBP;KTI12;ELP2;ELP3;ELP4;THAP11;CENPF;MRGBP;SNW1;CARM1;POLR3F
protein homotetramerization (GO:0051289)	2/52	0.06717556019414583	0.27492256307028073	0	0	4.916024844720497	13.27545857181734	ACACA;GLS
regulation of GTPase activity (GO:0043087)	4/189	0.06912088246519661	0.27492256307028073	0	0	2.6723780384157743	7.140322571422121	RAP1GDS1;ARL2;RAB3GAP2;ADAP1
ATF6-mediated unfolded protein response (GO:0036500)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	HSP90B1
regulation of DNA-directed DNA polymerase activity (GO:1900262)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	POLG2
regulation of DNA-templated transcription in response to stress (GO:0043620)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	BCLAF1
cellular response to forskolin (GO:1904322)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	AHR
cellular response to nitric oxide (GO:0071732)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	CDK2
cellular response to reactive nitrogen species (GO:1902170)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	CDK2
regulation of PERK-mediated unfolded protein response (GO:1903897)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	NCK1
endosome to melanosome transport (GO:0035646)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	BLOC1S3
endosome to pigment granule transport (GO:0043485)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	BLOC1S3
regulation of respiratory burst (GO:0060263)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	RAC2
positive regulation of autophagosome assembly (GO:2000786)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	RAB3GAP2
positive regulation of CD8-positive, alpha-beta T cell activation (GO:2001187)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	CBFB
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	POLG2
response to forskolin (GO:1904321)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	AHR
histone phosphorylation (GO:0016572)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	CDK2
positive regulation of mitochondrial calcium ion concentration (GO:0051561)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	RAP1GDS1
mitochondrial tRNA modification (GO:0070900)	1/9	0.0710171787187418	0.27492256307028073	0	0	15.300154320987655	40.4663603578683	TRMT10C
regulation of cyclin-dependent protein kinase activity (GO:1904029)	2/54	0.07174449888311106	0.27669010512656417	0	0	4.726469182990922	12.452564136875203	CDK7;CCNH
negative regulation of cytokine-mediated signaling pathway (GO:0001960)	2/55	0.07406591750905939	0.28017804268803786	0	0	4.637056135005274	12.069328804591933	YTHDF2;METTL3
positive regulation of response to DNA damage stimulus (GO:2001022)	2/55	0.07406591750905939	0.28017804268803786	0	0	4.637056135005274	12.069328804591933	BCLAF1;EEF1E1
protein homooligomerization (GO:0051260)	3/121	0.07645496942771361	0.28017804268803786	0	0	3.1333156779661016	8.055921759146827	GLRA3;ACACA;GLS
acetyl-CoA biosynthetic process (GO:0006085)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	ACLY
negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	NCK1
dicarboxylic acid biosynthetic process (GO:0043650)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	GLS
regulation of neutrophil migration (GO:1902622)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	RAC2
dosage compensation (GO:0007549)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	METTL3
genetic imprinting (GO:0071514)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	PRMT7
positive regulation of dendritic spine morphogenesis (GO:0061003)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	DHX36
granulocyte activation (GO:0036230)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	PREX1
histone H4 deacetylation (GO:0070933)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	SMARCAD1
retinoic acid receptor signaling pathway (GO:0048384)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	SNW1
positive regulation of lipase activity (GO:0060193)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	PDPK1
rRNA pseudouridine synthesis (GO:0031118)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	GAR1
secretory granule organization (GO:0033363)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	BLOC1S3
positive regulation of mRNA 3'-end processing (GO:0031442)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	DHX36
positive regulation of transcription by RNA polymerase III (GO:0045945)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	ELL
UV protection (GO:0009650)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	FEN1
primary miRNA processing (GO:0031053)	1/10	0.07859178267742749	0.28017804268803786	0	0	13.599451303155007	34.5900429790609	METTL3
dicarboxylic acid metabolic process (GO:0043648)	2/57	0.07877992673441817	0.28017804268803786	0	0	4.46798418972332	11.353581450395929	ACLY;FH
regulation of reactive oxygen species metabolic process (GO:2000377)	2/57	0.07877992673441817	0.28017804268803786	0	0	4.46798418972332	11.353581450395929	RAC2;AATF
regulation of signal transduction (GO:0009966)	4/198	0.07895428208821419	0.28017804268803786	0	0	2.5472346495493743	6.467139159148053	GIT2;SNW1;CBFB;NCK1
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	8/547	0.07949993289404442	0.28113817099554805	0	0	1.847914297683883	4.67891734124097	BCLAF1;CENPF;SNW1;DHX36;DPF2;EPC1;AHR;DMAP1
negative regulation of nucleic acid-templated transcription (GO:1903507)	7/464	0.08592462423605084	0.2838687500734238	0	0	1.90287830331594	4.670205352056693	BCLAF1;CENPF;SNW1;DPF2;EPC1;AHR;DMAP1
protein localization to phagophore assembly site (GO:0034497)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	STX17
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	PANK1
pyrimidine nucleoside salvage (GO:0043097)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	DCK
pyrimidine-containing compound salvage (GO:0008655)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	DCK
carnitine shuttle (GO:0006853)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	ACACA
regulation of cytoplasmic transport (GO:1903649)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	MAP2K2
regulation of ERAD pathway (GO:1904292)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	RNFT1
regulation of gene expression by genetic imprinting (GO:0006349)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	PRMT7
coenzyme A biosynthetic process (GO:0015937)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	PANK1
regulation of mRNA 3'-end processing (GO:0031440)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	DHX36
regulation of phospholipase activity (GO:0010517)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	PDPK1
regulation of stress-activated protein kinase signaling cascade (GO:0070302)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	MAP2K2
glutamine family amino acid biosynthetic process (GO:0009084)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	GLS
hematopoietic stem cell proliferation (GO:0071425)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	YTHDF2
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	PANK1
positive regulation of production of miRNAs involved in gene silencing by miRNA (GO:1903800)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	MAP2K2
lipoprotein catabolic process (GO:0042159)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	ABHD17A
positive regulation of transcription elongation from RNA polymerase II promoter (GO:0032968)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	ELL
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	GNPNAT1
positive regulation of vacuole organization (GO:0044090)	1/11	0.08610500246845536	0.2838687500734238	0	0	12.238888888888889	30.012053634065264	RAB3GAP2
regulation of DNA-templated transcription, initiation (GO:2000142)	2/61	0.08847781164226828	0.28627423253315626	0	0	4.164227813454048	10.09826691544154	BCLAF1;CBFB
cellular response to insulin stimulus (GO:0032869)	3/129	0.08863449376882743	0.28627423253315626	0	0	2.933184523809524	7.107792985386127	PDPK1;ATP6V1E2;RHOQ
regulation of primary metabolic process (GO:0080090)	3/130	0.0902113071739746	0.28627423253315626	0	0	2.90994094488189	7.000155400923807	CARM1;ACACA;CERS2
Golgi organization (GO:0007030)	3/130	0.0902113071739746	0.28627423253315626	0	0	2.90994094488189	7.000155400923807	STX17;VPS51;ARL1
regulation of neurogenesis (GO:0050767)	2/62	0.09095549829628474	0.28627423253315626	0	0	4.094616977225673	9.816373001708104	YTHDF2;SNW1
monocarboxylic acid biosynthetic process (GO:0072330)	2/63	0.09345346744439416	0.28627423253315626	0	0	4.027288463496589	9.545848180760629	ACLY;ACACA
amino sugar biosynthetic process (GO:0046349)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	GNPNAT1
regulation of axon regeneration (GO:0048679)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	CERS2
regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	CBFB
brain morphogenesis (GO:0048854)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	VPS51
C-terminal protein amino acid modification (GO:0018410)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	ICMT
regulation of hemopoiesis (GO:1903706)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	CBFB
cellular response to thyroid hormone stimulus (GO:0097067)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	BRD8
neurotransmitter uptake (GO:0001504)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	SLC29A1
nucleoside salvage (GO:0043174)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	DCK
dosage compensation by inactivation of X chromosome (GO:0009048)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	METTL3
regulation of sister chromatid cohesion (GO:0007063)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	FEN1
positive regulation of cardiocyte differentiation (GO:1905209)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	DHX36
positive regulation of cellular senescence (GO:2000774)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	EEF1E1
glutamine metabolic process (GO:0006541)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	GLS
histone H3-K9 demethylation (GO:0033169)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	KDM3B
magnesium ion transport (GO:0015693)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	NIPA2
tricarboxylic acid metabolic process (GO:0072350)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	ACLY
mitotic G1/S transition checkpoint signaling (GO:0044819)	1/12	0.09355733235428003	0.28627423253315626	0	0	11.125701459034792	26.35879884341197	CDK2
regulation of cell adhesion (GO:0030155)	3/133	0.09501178438427363	0.2877092299855178	0	0	2.8423557692307693	6.690207253017381	YTHDF2;RAC2;CBLL1
RNA metabolic process (GO:0016070)	3/133	0.09501178438427363	0.2877092299855178	0	0	2.8423557692307693	6.690207253017381	SNRNP40;METTL3;DHX36
regulation of innate immune response (GO:0045088)	2/64	0.09597122896281352	0.2877092299855178	0	0	3.962131837307153	9.286075451376673	POLR3B;POLR3F
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	2/64	0.09597122896281352	0.2877092299855178	0	0	3.962131837307153	9.286075451376673	CBFB;DHX36
mitotic G1 DNA damage checkpoint signaling (GO:0031571)	2/65	0.09850829922614733	0.2877092299855178	0	0	3.899043675441191	9.036480073533241	CARM1;CDK2
negative regulation of CD4-positive, alpha-beta T cell activation (GO:2000515)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	CBFB
pseudouridine synthesis (GO:0001522)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	GAR1
alpha-linolenic acid metabolic process (GO:0036109)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	ELOVL1
purine ribonucleoside triphosphate metabolic process (GO:0009205)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	RHOQ
purine-containing compound salvage (GO:0043101)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	DCK
negative regulation of endoplasmic reticulum unfolded protein response (GO:1900102)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	NCK1
regulation of antigen receptor-mediated signaling pathway (GO:0050854)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	CBFB
negative regulation of stem cell differentiation (GO:2000737)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	YTHDF2
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	ALG13
entry into host (GO:0044409)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	CBLL1
positive regulation of cell aging (GO:0090343)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	EEF1E1
fatty acid elongation (GO:0030497)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	ELOVL1
positive regulation of ERAD pathway (GO:1904294)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	RNFT1
response to nitric oxide (GO:0071731)	1/13	0.10094926269486922	0.2877092299855178	0	0	10.198045267489713	23.385517356838168	CDK2
