[CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN,CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN] was killed by [REACTOME_MITOCHONDRIAL_TRANSLATION,REACTOME_MITOCHONDRIAL_TRANSLATION]
[REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX,REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_UP,NUNODA_RESPONSE_TO_DASATINIB_IMATINIB_UP] was killed by [PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN,PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN]
[REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION,REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[ALCALA_APOPTOSIS,ALCALA_APOPTOSIS] was killed by [REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES]
[PID_ANTHRAX_PATHWAY,PID_ANTHRAX_PATHWAY] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[MIKKELSEN_IPS_WITH_HCP_H3K27ME3,MIKKELSEN_IPS_WITH_HCP_H3K27ME3] was killed by [KENNY_CTNNB1_TARGETS_DN,KENNY_CTNNB1_TARGETS_DN]
[GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN,GUTIERREZ_CHRONIC_LYMPHOCYTIC_LEUKEMIA_DN] was killed by [GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11,GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11]
[LOPEZ_TRANSLATION_VIA_FN1_SIGNALING,LOPEZ_TRANSLATION_VIA_FN1_SIGNALING] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[REACTOME_HEDGEHOG_LIGAND_BIOGENESIS,REACTOME_HEDGEHOG_LIGAND_BIOGENESIS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[ZAMORA_NOS2_TARGETS_UP,ZAMORA_NOS2_TARGETS_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[CASTELLANO_NRAS_TARGETS_UP,CASTELLANO_NRAS_TARGETS_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[YIH_RESPONSE_TO_ARSENITE_C5,YIH_RESPONSE_TO_ARSENITE_C5] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[KOMMAGANI_TP63_GAMMA_TARGETS,KOMMAGANI_TP63_GAMMA_TARGETS] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER,SATO_SILENCED_EPIGENETICALLY_IN_PANCREATIC_CANCER] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN,DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[PID_TCPTP_PATHWAY,PID_TCPTP_PATHWAY] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[KEGG_HOMOLOGOUS_RECOMBINATION,KEGG_HOMOLOGOUS_RECOMBINATION] was killed by [LOPES_METHYLATED_IN_COLON_CANCER_DN,LOPES_METHYLATED_IN_COLON_CANCER_DN]
[SASSON_RESPONSE_TO_FORSKOLIN_DN,SASSON_RESPONSE_TO_FORSKOLIN_DN] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[BENPORATH_PROLIFERATION,BENPORATH_PROLIFERATION] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[BIOCARTA_CELLCYCLE_PATHWAY,BIOCARTA_CELLCYCLE_PATHWAY] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS,REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN,RICKMAN_TUMOR_DIFFERENTIATED_MODERATELY_VS_POORLY_DN] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[PID_HDAC_CLASSI_PATHWAY,PID_HDAC_CLASSI_PATHWAY] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[BIOCARTA_SPRY_PATHWAY,BIOCARTA_SPRY_PATHWAY] was killed by [TERAO_AOX4_TARGETS_HG_UP,TERAO_AOX4_TARGETS_HG_UP]
[REACTOME_PCP_CE_PATHWAY,REACTOME_PCP_CE_PATHWAY] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[CROONQUIST_NRAS_SIGNALING_DN,CROONQUIST_NRAS_SIGNALING_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING,REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[GREENBAUM_E2A_TARGETS_DN,GREENBAUM_E2A_TARGETS_DN] was killed by [RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP,RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP]
[PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP,PUJANA_BREAST_CANCER_WITH_BRCA1_MUTATED_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN,TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[PID_MAPK_TRK_PATHWAY,PID_MAPK_TRK_PATHWAY] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[SCHAVOLT_TARGETS_OF_TP53_AND_TP63,SCHAVOLT_TARGETS_OF_TP53_AND_TP63] was killed by [REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES,REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES]
[SESTO_RESPONSE_TO_UV_C1,SESTO_RESPONSE_TO_UV_C1] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN,REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[LY_AGING_OLD_DN,LY_AGING_OLD_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[ODONNELL_TFRC_TARGETS_DN,ODONNELL_TFRC_TARGETS_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_INTERLEUKIN_1_SIGNALING,REACTOME_INTERLEUKIN_1_SIGNALING] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[CROONQUIST_IL6_DEPRIVATION_DN,CROONQUIST_IL6_DEPRIVATION_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[BIOCARTA_41BB_PATHWAY,BIOCARTA_41BB_PATHWAY] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[CAFFAREL_RESPONSE_TO_THC_DN,CAFFAREL_RESPONSE_TO_THC_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[AMIT_SERUM_RESPONSE_20_MCF10A,AMIT_SERUM_RESPONSE_20_MCF10A] was killed by [LOPES_METHYLATED_IN_COLON_CANCER_DN,LOPES_METHYLATED_IN_COLON_CANCER_DN]
[BIOCARTA_BARR_MAPK_PATHWAY,BIOCARTA_BARR_MAPK_PATHWAY] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[BIOCARTA_CDK5_PATHWAY,BIOCARTA_CDK5_PATHWAY] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[YU_MYC_TARGETS_UP,YU_MYC_TARGETS_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[LEIN_CHOROID_PLEXUS_MARKERS,LEIN_CHOROID_PLEXUS_MARKERS] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[BIOCARTA_MYOSIN_PATHWAY,BIOCARTA_MYOSIN_PATHWAY] was killed by [TERAO_AOX4_TARGETS_HG_UP,TERAO_AOX4_TARGETS_HG_UP]
[REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM,REACTOME_VITAMIN_D_CALCIFEROL_METABOLISM] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES,REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[LEE_LIVER_CANCER_MYC_E2F1_UP,LEE_LIVER_CANCER_MYC_E2F1_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,KEGG_ALPHA_LINOLENIC_ACID_METABOLISM] was killed by [RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP,RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP]
[PID_RB_1PATHWAY,PID_RB_1PATHWAY] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS,REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[HAHTOLA_MYCOSIS_FUNGOIDES_DN,HAHTOLA_MYCOSIS_FUNGOIDES_DN] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[WU_HBX_TARGETS_3_UP,WU_HBX_TARGETS_3_UP] was killed by [GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11,GOTTWEIN_TARGETS_OF_KSHV_MIR_K12_11]
[REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR,REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP,CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM,SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[REACTOME_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_JUNCTION_ORGANIZATION] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[YANAGIHARA_ESX1_TARGETS,YANAGIHARA_ESX1_TARGETS] was killed by [HORTON_SREBF_TARGETS,HORTON_SREBF_TARGETS]
[GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_DN,GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_DN] was killed by [YANG_BREAST_CANCER_ESR1_DN,YANG_BREAST_CANCER_ESR1_DN]
[RASHI_RESPONSE_TO_IONIZING_RADIATION_3,RASHI_RESPONSE_TO_IONIZING_RADIATION_3] was killed by [NIKOLSKY_BREAST_CANCER_7P15_AMPLICON,NIKOLSKY_BREAST_CANCER_7P15_AMPLICON]
[REACTOME_FANCONI_ANEMIA_PATHWAY,REACTOME_FANCONI_ANEMIA_PATHWAY] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_PROTEIN_UBIQUITINATION,REACTOME_PROTEIN_UBIQUITINATION] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[LEE_LIVER_CANCER_SURVIVAL_DN,LEE_LIVER_CANCER_SURVIVAL_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS,REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[NOUSHMEHR_GBM_SILENCED_BY_METHYLATION,NOUSHMEHR_GBM_SILENCED_BY_METHYLATION] was killed by [YANG_BREAST_CANCER_ESR1_DN,YANG_BREAST_CANCER_ESR1_DN]
[SHEPARD_CRUSH_AND_BURN_MUTANT_DN,SHEPARD_CRUSH_AND_BURN_MUTANT_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[KEGG_ACUTE_MYELOID_LEUKEMIA,KEGG_ACUTE_MYELOID_LEUKEMIA] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX,REACTOME_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX] was killed by [RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP,RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP]
[BORLAK_LIVER_CANCER_EGF_UP,BORLAK_LIVER_CANCER_EGF_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR,ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[BIOCARTA_PAR1_PATHWAY,BIOCARTA_PAR1_PATHWAY] was killed by [TERAO_AOX4_TARGETS_HG_UP,TERAO_AOX4_TARGETS_HG_UP]
[REACTOME_L1CAM_INTERACTIONS,REACTOME_L1CAM_INTERACTIONS] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN,GARCIA_TARGETS_OF_FLI1_AND_DAX1_DN] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_INTERLEUKIN_12_SIGNALING,REACTOME_INTERLEUKIN_12_SIGNALING] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[KEGG_LONG_TERM_POTENTIATION,KEGG_LONG_TERM_POTENTIATION] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[REACTOME_MAPK6_MAPK4_SIGNALING,REACTOME_MAPK6_MAPK4_SIGNALING] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[KIM_LRRC3B_TARGETS,KIM_LRRC3B_TARGETS] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[REACTOME_METAL_ION_SLC_TRANSPORTERS,REACTOME_METAL_ION_SLC_TRANSPORTERS] was killed by [RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP,RUAN_RESPONSE_TO_TNF_TROGLITAZONE_UP]
[REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[REACTOME_COHESIN_LOADING_ONTO_CHROMATIN,REACTOME_COHESIN_LOADING_ONTO_CHROMATIN] was killed by [REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS,REACTOME_MITOTIC_TELOPHASE_CYTOKINESIS]
[REACTOME_STABILIZATION_OF_P53,REACTOME_STABILIZATION_OF_P53] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP,PYEON_CANCER_HEAD_AND_NECK_VS_CERVICAL_UP] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP,FLECHNER_PBL_KIDNEY_TRANSPLANT_OK_VS_DONOR_UP] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[PID_PLK1_PATHWAY,PID_PLK1_PATHWAY] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[BIOCARTA_PTC1_PATHWAY,BIOCARTA_PTC1_PATHWAY] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[KEGG_PRION_DISEASES,KEGG_PRION_DISEASES] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[RIZ_ERYTHROID_DIFFERENTIATION_HBZ,RIZ_ERYTHROID_DIFFERENTIATION_HBZ] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS,REACTOME_PROLONGED_ERK_ACTIVATION_EVENTS] was killed by [MARTIN_INTERACT_WITH_HDAC,MARTIN_INTERACT_WITH_HDAC]
[KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION] was killed by [PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY]
[KEGG_THYROID_CANCER,KEGG_THYROID_CANCER] was killed by [REACTOME_CELL_CELL_JUNCTION_ORGANIZATION,REACTOME_CELL_CELL_JUNCTION_ORGANIZATION]
[DORN_ADENOVIRUS_INFECTION_12HR_DN,DORN_ADENOVIRUS_INFECTION_12HR_DN] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[WHITFIELD_CELL_CYCLE_G2,WHITFIELD_CELL_CYCLE_G2] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP,CHAUHAN_RESPONSE_TO_METHOXYESTRADIOL_UP] was killed by [REACTOME_MRNA_SPLICING,REACTOME_MRNA_SPLICING]
[RADAEVA_RESPONSE_TO_IFNA1_UP,RADAEVA_RESPONSE_TO_IFNA1_UP] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[KEGG_ETHER_LIPID_METABOLISM,KEGG_ETHER_LIPID_METABOLISM] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
[GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_UP,GRAHAM_CML_QUIESCENT_VS_NORMAL_DIVIDING_UP] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[BIOCARTA_CXCR4_PATHWAY,BIOCARTA_CXCR4_PATHWAY] was killed by [TERAO_AOX4_TARGETS_HG_UP,TERAO_AOX4_TARGETS_HG_UP]
[LIN_TUMOR_ESCAPE_FROM_IMMUNE_ATTACK,LIN_TUMOR_ESCAPE_FROM_IMMUNE_ATTACK] was killed by [BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP,BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP]
[BIOCARTA_NKT_PATHWAY,BIOCARTA_NKT_PATHWAY] was killed by [LINDSTEDT_DENDRITIC_CELL_MATURATION_A,LINDSTEDT_DENDRITIC_CELL_MATURATION_A]
[BURTON_ADIPOGENESIS_6,BURTON_ADIPOGENESIS_6] was killed by [WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP,WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP]
[REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS,REACTOME_FATTY_ACYL_COA_BIOSYNTHESIS] was killed by [HORTON_SREBF_TARGETS,HORTON_SREBF_TARGETS]
[BIOCARTA_PML_PATHWAY,BIOCARTA_PML_PATHWAY] was killed by [REACTOME_HATS_ACETYLATE_HISTONES,REACTOME_HATS_ACETYLATE_HISTONES]
[REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY,REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[REACTOME_DUAL_INCISION_IN_GG_NER,REACTOME_DUAL_INCISION_IN_GG_NER] was killed by [REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1]
[KEGG_CELL_CYCLE,KEGG_CELL_CYCLE] was killed by [BURTON_ADIPOGENESIS_3,BURTON_ADIPOGENESIS_3]
