kg1_t_1	kg1_t_2	kg1_t_3	kg1_u_1	kg1_u_2	kg1_u_3	molm14_t_1	molm14_t_2	molm14_t_3	molm14_u_1	molm14_u_2	molm14_u_3	ociaml2_t_1	ociaml2_t_2	ociaml2_t_3	ociaml2_u_1	ociaml2_u_2	ociaml2_u_3	ociaml3_t_1	ociaml3_t_2	ociaml3_t_3	ociaml3_u_1	ociaml3_u_2	ociaml3_u_3	thp1_t_1	thp1_t_2	thp1_t_3	thp1_u_1	thp1_u_2	thp1_u_3
ENSG00000077147	0	0	0	0	0	0	-1.51178491016879	0	-1.26371920665622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000077232	0	0	-2.31545041211621	0	0	0	-1.28965188882968	-1.28023312847547	-1.71356030143549	-1.14601371938842	-2.1890745993165	-0.916674186442124	-1.59800184543209	0	-1.6313432929195	-1.97283904239135	0	-3.81149347278485	0	0	0	0	0	0	-1.46156840489543	-1.45159966223966	-1.73815885006643	-1.90924804954323	0	-2.22975602495358
ENSG00000077235	0	-2.97472026572438	0	-2.18467174870073	-1.36205432036849	0	-1.74791056262643	0	0	0	-2.17126206267521	-2.87628692614997	-1.59627784659771	0	-1.34546551871313	-1.22804376131271	0	-2.04309810536996	-2.32673816308863	-1.55479170462474	0	-2.27349259828337	-0.885990036602866	-1.8165343948166	0	-1.87146295043196	-2.71513375071993	0	-0.945353900060081	0
ENSG00000077254	-2.1912936525981	0	-2.25222372060898	0	-4.6708149148075	-2.52131034145876	0	-2.10238615907115	-3.42886393467322	-1.84863730395437	-3.16208806234012	-1.59262370927173	0	0	0	0	0	0	-2.13365048946836	-1.9214681955989	-2.26100753937852	-1.90689577432891	-1.73709603704612	-2.99187882168452	-3.52332609230208	0	0	-4.86782659351087	0	0
ENSG00000077380	0	-2.88247916744435	-1.73651714410843	-1.8983301654759	-2.42273073494204	-2.4571195187599	-2.62408721452038	-7.03019296658684	-1.70664817995289	0	0	0	-1.97051109718559	0	-2.06360459797333	-3.05221859431182	-1.22141406125725	-2.32532531390673	-1.57903671832909	0	-3.87411403786542	0	0	0	0	0	0	0	0	0
ENSG00000077420	-1.5779030066872	-0.896420132850769	-2.56496297396915	-1.57964160617664	-0.605450097717656	-2.39457590064935	-1.63762926062194	0	0	-4.49619911771577	-5.50974767482792	0	0	0	0	-3.54478988594773	-0.78534294062745	0	-0.496575098025921	-2.39242724406763	-2.50243012388277	0	0	-5.385726212488	-1.28862296584884	-0.923180378389557	-1.15595867832842	0	-0.560408390114973	-2.68314678451884
ENSG00000077514	0	-1.277664783154	0	0	-3.66948892958771	0	0	0	0	0	-3.5750241758735	0	0	0	-2.39030325252009	0	-2.3238358586689	0	0	-1.21688232941049	0	0	0	-1.62403044693371	0	-0.819867983270349	0	0	-1.57988654063539	0
ENSG00000077549	-1.06792542021955	-1.87849656451758	-1.69729731904117	-1.64893974940242	-1.19167354845474	-1.0241911407036	-0.789601129326395	-1.00443977855877	-0.635623755752474	-1.44543413167339	0	-1.34934811995198	-1.14195831885481	-1.29333131563434	-1.66574069325581	-0.697311358173923	0	-1.25209181124092	0	0	-1.73286245686719	0	0	0	0	0	0	0	0	0
ENSG00000077684	-3.65899642312658	-1.60376707335822	-3.05138741342165	-2.46681790181302	-1.92049411987059	0	0	0	0	0	-1.30462693128785	0	-3.74049328973724	0	0	-2.54156998318915	0	0	-2.68047682147648	0	-2.83910804512704	0	-2.22154031468707	0	0	0	-2.32629886357607	-2.70056282945016	-1.66789435041698	-2.48915356075372
ENSG00000078043	-1.89881122097959	-1.6888945895088	-2.10623051769055	-2.44627476363018	-1.87464926907778	-1.4407643831041	0	0	-7.04593681889432	-1.88702743300151	-4.11460460840353	-3.42068548728357	-1.55592704481151	-1.38924452556034	-0.457481990937286	-0.739080744100858	-1.10461131005695	-0.714168067498764	0	0	-2.45701098842096	0	0	0	0	0	0	0	0	-3.54720949840752
ENSG00000078070	0	0	0	0	0	0	0	-1.97871621730824	-4.02606934709022	0	0	0	-1.81879526419047	-1.32417835551849	-1.39142618191489	-1.92681375039064	-0.863882563867526	-1.04017026979377	-1.6504904255146	-0.263318672288989	-2.13280206627085	0	-1.31003050178111	0	-1.9613713496215	-4.73799721474237	0	0	0	0
ENSG00000078124	-1.83148778003187	-4.31251714214816	-1.20749661660126	0	-1.71246326287068	-1.40257070359894	0	0	0	0	0	0	-2.32850706196778	-2.22133947071629	-2.79334459352462	-1.7131739317934	-3.20972604225702	-1.61254909600049	0	0	-1.97184696633476	-1.82486353825892	-1.81458501261615	-1.48648930835151	0	0	-5.97478273551782	-2.83155866718531	0	-4.60915373006648
ENSG00000078142	0	0	0	0	0	0	-2.58736245687295	-1.04742545615502	-0.800909632928813	-1.8151950623906	-2.21004484218716	-2.31592254392996	0	0	0	0	-1.16325878130394	0	0	0	-2.16878762482434	0	0	0	-1.55268345749219	-1.77582832381368	-3.16483761775151	0	0	0
ENSG00000078304	-1.74550642680272	-1.78961047740488	-3.91962039091494	-2.63296140995124	-4.16605697830661	-3.4375919033839	-2.9359390946908	0	0	-1.86318969079952	-1.48314174576083	-2.48459574223932	0	0	0	0	-2.01355495819886	0	0	0	0	-3.57655773071434	-2.33016241799368	0	-3.27087609948388	-2.8975130354863	0	-1.85519000745378	0	0
ENSG00000078369	-2.16094042989286	-1.94641600108466	-1.32204842771807	-1.80482180319636	-0.788417365874782	-1.0402514427424	-2.56007288729217	-2.59059651059327	-2.92957173048057	-3.45465989738253	0	-2.28806516987728	-1.88155937966201	-1.15538923325108	-1.04677984931227	-1.97476744998299	-0.777755502345448	-0.851524598106923	0	-2.4170205466116	-2.03392480909239	0	0	-1.24891521457832	0	0	-2.32398765062202	0	0	-2.11405681397187
ENSG00000078618	0	-2.37676953620169	-1.6936084402043	-1.8546475856388	-1.91423385141391	-2.20433893424028	0	0	0	0	0	0	-1.06016460720138	-1.28862296584884	-0.918784733825382	-1.44239543284355	-1.46876701829446	-1.4453766447145	-1.28862296584884	0	-3.37527400521137	0	0	0	-2.21583088042506	-2.96749189807427	-2.40553403613024	0	0	-2.93957500644691
ENSG00000078674	0	0	0	0	0	0	-2.01880217043977	-2.51777671980715	-2.62194693597836	0	-2.4283140197697	0	0	0	0	0	0	0	-2.17631278750188	0	-3.86506305984961	0	0	0	-2.76716338773913	-1.60200035583263	-1.58958803927344	0	0	-2.29946897829939
ENSG00000078699	-0.378222051979645	-0.805766491722701	-0.58436181353349	-0.429129730400101	-0.0656789328947797	-0.460121534960009	-1.40098523566525	-0.991576306231396	-1.12896313019223	-3.69321902809705	-0.837228247806717	0	0	0	0	-2.6498677314943	0	0	0	0	-4.52158782699802	0	0	0	0	0	0	0	0	0
ENSG00000079332	0	0	0	0	0	0	-0.691779408151109	0	-0.982593190944209	-0.481214705629252	-2.33930619776575	-1.22640752159039	-0.234309325356871	-1.83664969555775	-0.357866017362287	-0.174119085627194	-2.1307577232402	-0.643768005926289	-0.526571742881548	-2.26495741805648	-1.66326843143189	-0.762571243089782	-1.77920571905636	-1.56723119800925	0	0	0	0	0	0
ENSG00000079335	0	-2.71657775339465	0	0	0	0	0	0	0	0	-2.5624075251141	0	-5.708176111841	0	-4.46551799703295	0	0	0	-1.82239230084232	-2.05783842769521	0	0	0	0	-2.48037298936162	-3.22679677401426	-2.84650554121708	0	0	-4.76365346944293
ENSG00000079387	0	-1.79408094240501	0	0	-2.15765663288782	-3.77180566843311	-1.81152427487412	-1.76003908687279	-1.13358444520152	-2.06465211177131	0	-1.26082880690502	-1.46769696041942	0	-0.686609237080547	-2.557438002666	0	-1.11254152256643	-2.33930619776575	0	-1.39837169092342	-3.53078963454944	0	-2.35648071147544	0	0	0	0	0	0
ENSG00000079459	-1.73015500770788	-1.96630526689573	-2.86976616335661	-2.0218111294924	-1.06146163319127	-1.23059198174942	-3.12378884272628	0	-1.86682599681621	-4.20705241538684	-1.74205737779938	-1.45403374579468	-1.71197145115138	-2.84031853876633	-2.09776650467358	-1.14562829370513	0	-1.05796134986526	0	0	-3.42393829450968	-2.11756777185549	0	0	-1.28278321614426	-1.95523921359102	-1.23027381504474	-0.842111495503239	-3.64952479333035	-0.914852517683994
ENSG00000079616	-2.80545414935675	-0.832330935797506	-2.03752392867691	-1.83004375768798	-1.68216556695768	-1.9417890402602	0	0	0	0	-1.978392594858	0	0	0	0	0	-2.00537808121266	0	-3.19827790844964	-4.01677571263385	0	0	-1.8467222880462	-3.18348250914113	-1.59856590071777	-1.84806732513588	-1.64134886827743	0	-1.19889707962759	-2.03004634735364
ENSG00000079805	0	-2.64483194847476	0	-2.39698806545457	0	-3.17192617387638	-4.80734618805001	-4.20921727789257	0	-2.11148743612143	-1.24404755213861	-2.5178517293306	0	0	0	0	0	0	0	-1.96915498222736	0	0	-1.15857121796173	0	0	0	0	0	-2.6049151613706	0
ENSG00000079819	0	-1.27353061400998	0	-4.02767493389868	-0.89691946062326	-3.74128617439953	-0.958360725438906	-0.713895194052383	-1.82795286403936	0	-1.06215927736299	0	-2.63096872853632	-0.430890908211484	-0.990403762539578	-2.51784055787763	-1.21113099791604	-2.80817066310109	0	-3.88116203681733	0	0	0	0	0	-1.92923242619876	0	0	-1.52229684226853	0
ENSG00000079950	-1.01460747062141	-1.58771090640162	-1.58223239577638	-0.997804171242584	0	-1.61841927303065	0	0	0	0	0	0	0	0	0	0	0	0	-1.18923060169876	0	-1.89043334603286	0	-1.95140929900044	-1.50963567850648	0	0	0	0	0	0
ENSG00000080189	-3.05614352177461	0	0	0	-6.30208569755041	0	-1.64617095492817	0	0	0	-4.59941139586299	0	-0.802615528741038	-3.57797714603639	-2.54518630800927	-1.00263615029228	0	-1.27093364781719	0	0	-1.88593489844261	-2.50716251171685	-1.37016529945816	-2.28956318226174	0	0	0	0	0	-3.07272676942307
ENSG00000080298	-1.09066852901379	-1.28486707941596	-1.82525473794553	-0.669311124094711	-0.520504788628996	-0.732060982038067	-3.96329613373506	0	0	-1.54946954963629	-0.767041634589081	-1.65796381973381	-0.825882603418209	-2.04523871000093	-1.40382983922006	-1.01103067635921	-1.92985577374909	-1.13666871415014	-1.75669235261661	0	0	0	0	0	0.0524170067284831	-0.0565117000652667	-0.0271327231565706	-0.20894762107486	-0.322163670429852	-0.0789742919022903
ENSG00000080345	0	-3.83527600898332	0	0	0	0	-4.6564231963616	-2.01099778252705	-2.15964131743978	-2.65275102064006	0	-3.03788873251269	0	0	0	0	0	0	-1.03797903714246	0	0	0	-1.55009724607994	0	0	0	0	0	-2.20038911686599	0
ENSG00000080371	0	0	0	0	0	0	-1.49330491392304	-2.98019974706386	-1.09822529846835	-1.47002221270317	-1.28981864155671	-1.28285247416761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000080503	-1.99254415243104	-1.37287173055262	-2.73583268354008	-2.04152247591204	-1.54438769299293	-3.76162678930814	-2.22357536111726	-1.34034223424858	-5.00794769483932	-2.73237280735806	-1.13614854930466	-2.38905033090151	-0.896506612361828	-1.13659241804496	-1.215134282388	-1.07573478038301	-0.775202210798492	-1.12297505355299	-3.36665255599246	-2.31091773963288	0	0	0	0	-2.0591706348762	-1.68038912607431	-4.22706095246138	-4.76993423209998	-1.18206508209925	0
ENSG00000080546	-0.70023254563784	-2.06392039763369	-0.659167918156109	-0.659782585290714	-1.216199521295	-0.55316552048069	-0.956679042890443	-1.80391597685308	-0.788893988240611	-1.67080984128726	-1.65997204630393	-2.10264337988325	-0.792323509302347	-1.93190605934902	-1.15401006780542	-1.36111758815051	0	-1.56588493644254	-3.62494433486522	0	-1.71854576599244	0	0	0	0	0	0	0	0	0
ENSG00000080608	0	0	0	0	0	0	0	0	0	0	-1.64716145553466	0	-3.95564738291708	-2.45495074513038	0	0	0	0	-1.14667307209883	-1.88275194919165	0	0	-1.83796129273004	0	0	-1.0434099561629	0	0	-2.67792094525451	0
ENSG00000080802	-1.92521490291298	-1.72296799398515	-2.6756639870295	-2.13231320008227	0	0	0	0	-1.74709968476753	-2.33827797932302	-0.997183094078897	-4.1325929623405	0	-2.94923036310331	-1.38823154713755	-3.78688336474055	0	-3.61289234167735	-0.750235607070575	-1.54265419234185	-0.654397347312626	0	-1.41632701731173	-1.51925566307269	-1.1191442115627	-1.18868981346536	-0.870803762261706	-1.24355751387983	-2.04634733410759	-1.08992441752313
ENSG00000080815	-3.3082168155959	0	-4.81355728337989	-2.560963726665	-3.97293941078316	-1.62340311763382	0	0	0	0	0	0	0	-3.23269193904718	0	0	0	0	0	-1.67499920290653	0	0	0	0	-1.53790688938645	-1.88911174197692	-2.83127564178146	-2.69586197531858	-3.69876980330072	-1.38087325853907
ENSG00000080824	0	0	0	0	0	-3.40342264172074	0	0	0	0	0	0	0	0	0	-3.05692034048378	0	-3.01125225736457	-1.4741145724976	-3.51130280974968	0	-1.3744077277364	-1.89497686751475	-1.7115439846426	0	0	0	0	0	0
ENSG00000080839	0	0	0	0	0	0	-0.854021834133915	0	-1.72866388894352	-1.50900952880859	0	0	0	0	0	0	0	0	0	0	-2.49858105484564	0	0	-2.61898136242805	0	0	0	-2.03058316523498	0	-1.93298002416969
ENSG00000080986	-2.31118017055996	-1.65688166763698	-1.56626108831789	-1.46883058158051	-1.73390373202487	-4.04823032474005	0	0	0	-2.30887391730234	-1.56633361615186	0	0	0	0	0	-3.02946841506954	0	0	0	0	0	0	0	-1.17960447364662	-1.16994917929529	-1.25236777122379	-1.69449356704886	-1.7975768738477	-3.75865958297872
ENSG00000081014	0	0	-3.72294971660314	0	0	-2.28817368214792	-1.84301086655076	0	-1.01508422991548	-1.7429961813992	0	-2.70712931998246	-0.625194157966187	-1.1344715892916	-0.527381394617722	-1.19359613565972	-0.249476834303411	-0.409687752853803	-1.31082419043741	0	-1.85794830329073	0	0	-1.90133899673166	0	0	0	0	0	0
ENSG00000081154	0	0	-1.35395150224699	-2.88990037199004	0	-1.25600789019754	0	0	0	0	0	-2.06103101541649	-2.15943478981605	0	0	-2.68710706760304	-1.45420820223791	-1.45006922939837	-1.45318689866335	-2.55105792284414	-2.60246628459535	-2.0739664898711	-3.09204666409659	-2.94167664334081	0	0	0	0	0	0
ENSG00000081189	0	0	0	0	0	0	-1.38194058263313	-1.68632700181086	-1.64340620529334	-0.88403080498516	-1.8080652630535	-1.17823538950562	-1.31448414216065	-0.92722370117082	-0.772783741938732	-0.945448860150763	-1.137853673172	-1.06549643455893	0	0	0	0	0	0	-2.45065298300063	-1.51477923404742	-1.9387370976253	0	-2.90939896951075	0
ENSG00000081237	0	0	0	0	0	0	0	0	0	0	0	0	-0.727700887820524	-1.30669569918854	-0.787309759217782	0	-1.12775272674264	-1.97894053161805	-0.784785180224233	0	-1.91939349760858	0	0	0	0	-3.24094271805282	0	0	-4.34308213507297	0
ENSG00000081307	0	0	0	0	-0.72907151419169	0	0	0	0	-2.24854796490831	0	0	0	0	0	0	-5.19854646839276	0	-2.90238829008298	0	0	0	-1.24099813991502	0	-2.6512376422917	0	-1.64380670952078	0	0	0
ENSG00000081320	0	0	0	0	0	0	-0.597008151645817	-1.25368157455233	-0.598322777582016	-1.28582227106545	-3.6182210073101	-1.43961071018978	-1.53506706799648	-1.63939725848457	-2.04576909226559	-2.46460709340649	0	-3.53731508637851	-2.78890388816063	-1.53234942880825	-0.878886833247482	-1.71182039163594	0	-2.01749181312592	-3.10091166572685	-4.50204957936406	0	0	0	0
ENSG00000081870	-0.946612640088073	-1.04545455699951	-1.24183396883901	-1.53878684228405	-1.38743693221952	-0.957212218026067	0	0.241440839646479	0	0	0	0	-1.3013061111006	-1.18095352677235	-0.783083930708287	-0.95723119105224	-1.21439628109076	-0.441058664153306	0	-1.63447358979404	-1.34267171450594	-1.89109303405788	-2.29306154036376	-2.33481919571996	-1.08874585376822	-1.10877574665444	-0.923530616638905	-1.09369511381696	-1.70142693631566	-0.805637659516791
ENSG00000081913	-2.50986582781123	-0.808297459952555	-2.86508554471147	-2.35311725082397	-2.30551147241765	-1.81765469550184	0	-0.807808435722658	-8.45095432217506	-3.51107277591376	-3.84327945468284	0	0	0	0	0	-2.1176802598659	0	0	-1.4465871961571	0	0	0	0	0	-1.94234916312596	0	0	0	0
ENSG00000082068	0	0	0	0	-3.40091874459855	0	0	-1.30579529937765	0	0	-1.53834549077176	0	0	0	0	0	0	0	-1.49922587226985	-6.17962974943093	0	-2.44380629957639	-1.31443365330725	-1.62151195485449	0	0	0	0	0	0
ENSG00000082074	-1.90913820170493	-0.922899652891266	-2.41945164550932	-1.75124834973302	-1.26246567704151	0	-1.65899223198667	-1.0362531317866	-3.22024380415921	0	-1.63246927698583	0	-2.08675304483145	-2.00725960619474	-1.28898777529697	0	-1.41865520244874	0	-1.63473339436799	-3.80195662926688	0	0	0	0	-1.74238354201856	-2.03007966988604	-1.60997695924907	-1.51401355024439	-1.54675189919338	0
ENSG00000082212	0	0	0	0	0	0	-1.96292746484044	0	-1.52553819217092	-1.71882881079558	0	-2.15218817760872	0	0	0	0	0	0	-2.32242895081703	-4.76190957560048	0	-2.09884856727202	0	-2.03815380335265	0	0	0	0	0	0
ENSG00000082269	0	-3.44199558527488	-2.38734607610521	0	0	0	-2.02315662171243	-7.71582657674175	-2.71209082859748	0	0	0	-1.65667968883359	-1.9528339210801	-2.5212986011248	0	0	-1.91786956357752	0	0	0	0	-2.99103857246758	0	-2.35195827769019	-4.13842204297835	-2.82163759186952	0	0	0
ENSG00000082397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.722115014628457	-2.93473243425922	0	-1.83534915543061	0	0	0	0	-1.61024347239272	-0.436291954823571	-1.65545925857346
ENSG00000082701	-2.17753794085498	-2.18695616658215	-2.60902306867086	-0.881321470812018	-0.991584325830564	-1.29166921109501	0	-2.34780516834047	0	0	0	0	-2.10512672240079	-1.35860413890216	-2.73885636640842	0	-1.12957237378876	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000082898	0	-2.02340367401027	0	-8.45095432217506	0	-2.56784360228266	0	-2.27488707607606	-2.23355939722524	0	0	-2.90948269572174	0	0	-3.97532193979627	-1.94465492282454	-2.7419393254995	-3.13599915348937	-3.18499174397772	-5.36364495091548	-1.75868034338554	-2.78675419824072	0	-1.77765357353935	0	0	0	0	0	0
ENSG00000082996	0	0	0	0	0	-2.7822370720392	0	0	-1.49641082579327	-3.91855033096305	0	-3.11868155258939	0	-3.40360597089944	0	-2.8406029443876	0	-2.21937944271405	0	0	-2.17984542828785	0	0	0	-1.24419737110194	-1.3389988109898	-0.652818624657087	-0.998959392433757	-1.46269302528484	-0.480775829909129
ENSG00000083097	-1.86959768495308	-2.69863692321668	-1.92109353762166	-1.75619932584085	-3.81684100464533	-1.86644244573841	-2.75233474963352	-2.26427150010594	-1.56224444958912	-2.75081951045887	0	0	-2.71455785475651	-1.06369839590243	0	-4.88153564456025	0	0	-2.58107364859026	0	-1.91449890765738	0	0	0	0	0	-2.04539611889898	0	0	0
ENSG00000083168	-1.46207529555654	-0.915590656489818	-1.88054786106614	-1.73169571583295	-2.13202892572642	-2.26056369466654	-1.32646791733075	-0.855115549228424	-1.04029158124238	-2.38954109104065	0	-3.68228171306865	0	0	0	0	-1.34559804551617	0	0	-2.16410287799316	0	0	0	0	0	-2.98703509354666	0	0	0	0
ENSG00000083223	0	-1.14193800279411	0	-1.71506745866324	-1.95212180146532	0	-1.90070973296826	0	0	-2.97010487933934	0	0	0	-4.04635160260471	0	0	0	0	-1.01613556925987	-0.944169857629527	-3.17253557197219	0	0	-1.48200682750726	0	-2.23914066224065	0	0	0	0
ENSG00000083312	0	-1.91414864379419	-6.0307006704261	0	-2.8107185436718	-2.99496122739328	0	0	0	-4.19526827604989	0	-2.60070556606229	-3.5427682924789	0	0	-1.93646442839201	-2.63659927571471	-2.16413187225983	-2.44217407276922	-3.02688148782655	-1.20060992061011	-1.38863030795828	-2.54573862169927	-0.796505314781759	0	-2.08909109548582	-2.20720823501029	0	0	0
ENSG00000083535	0	0	0	0	0	0	0	-1.4926091509066	-2.90041126596634	-1.80313325239488	-3.31026059259172	-1.46851635629637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000083642	-1.34192189089901	-1.143686491957	-1.53674559980942	-1.18344667430182	-1.51780844073284	-1.79445144023768	-0.81195719550205	-0.69168947703704	-0.705531667817171	-0.613166100708168	-1.0292867730389	-0.545229412906634	-0.592496375634013	-0.294871016288103	-0.608041001554716	-0.772217677708299	-0.695225965555944	-0.503589881860343	-0.541539526591675	-0.709268069724466	-1.18555438143765	-2.60926394726267	-2.70347484920724	-1.71918050790475	-2.28472535466825	-1.22399724399486	-1.75255113400358	-3.30613330936618	-1.57222346986957	-1.86694805449758
ENSG00000083720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.07734517404282	0	0	0	-5.48256887640084	0	0	0	0	0	0	0
ENSG00000083896	0	-1.75753161786437	0	0	-2.79853111110201	0	0	-1.43797331781654	0	-1.4391021400396	-1.11825360246974	-3.13529470329314	0	-1.08346936644306	0	0	-2.52471483195209	-4.64552977436134	-1.51061357765696	0	0	0	-2.04108507547389	-3.02688148782655	0	0	0	0	-4.10690229594813	0
ENSG00000084070	-3.10582010057599	-1.73018110731348	-1.43499333992572	-1.89258931661896	-3.79553054581026	-0.945250182653104	0	0	0	0	-2.02959254615767	0	0	-1.40750723903572	0	0	-1.2277595060273	0	0	0	0	0	0	0	-1.79789925203019	-1.60840311885523	-1.5775144148697	0	0	-1.29354699038016
ENSG00000084072	-0.962687834770023	-1.1955326417183	-1.22870035292238	-0.93615827124554	-0.912455018793616	-1.13963911150337	0	-2.22594106680461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0119641838371222	0.298983253292959	-0.178695706081532	-0.165653266933319	0.174704602816912	-0.057699006111462
ENSG00000084234	0	0	0	0	0	0	0	0	0	0	0	0	-1.47387775199383	-2.63293344252917	-2.77581136033906	0	-2.79250961339571	0	-1.07552721758728	-1.00905209776648	0	0	-1.80212092630795	0	-2.08162370989206	-1.82462504921864	-2.56099609395895	-1.44483319601835	-1.29743620915662	-2.98884622135231
ENSG00000084733	0	0	0	0	0	0	0	0	0	0	-2.80167315822574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.20688956228401	0	-4.49876230288637
ENSG00000084754	-2.34044266805106	0	-2.52632995098324	-1.45631576828919	-1.96117307255997	-1.75834947579264	-2.35394684206222	0	0	-2.01423708000616	0	-3.03255362841824	-4.49726329364863	0	0	-2.17771166436784	0	0	0	0	0	-3.34460454547034	0	0	0	0	0	0	0	0
ENSG00000085224	-2.9250638974031	-1.62713283650669	-2.48093917837063	-1.39941538218219	-2.18023012546581	-2.38264736302525	-1.14901955659161	-1.4318135125848	-1.20968477733542	-2.40233011405304	-1.16545620372926	0	0	-6.23457772691854	0	0	0	0	-1.46792140219914	0	0	0	0	0	0	0	0	-6.05004668232709	-2.00986944224976	0
ENSG00000085231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.28791677898888	-4.69914140236233	0	-2.19338043471134	0	-3.31228641708754	-0.166196377550984	-1.24279352093353	-0.749512554255779	-2.83498885729902	0	-6.63257116502333	-2.03289396333102	-1.78190397068753	0
ENSG00000085377	-0.99123906153169	-3.82394550277294	-1.23057251279397	-1.04890393520527	0	-1.20637607384188	0	0	0	-3.26043385129286	0	0	-0.413882812244192	-0.319938116279364	-0.30233776805459	-0.763327407509168	-1.05539982285434	-0.903606930139929	-1.31579034637746	-3.26061732021706	-0.92280736449337	0	-2.28154971622853	-2.02873081989116	-1.4741145724976	0	-3.65796319572847	-2.17602296128986	0	-1.8803541267473
ENSG00000085382	-1.7392770924219	-1.01449584190751	-2.22915208672655	-1.93132267653451	0	-2.59320566629624	-1.87112096836456	-1.77875300378532	-2.91136000375876	0	-0.8487844713666	-2.29874112402226	0	0	0	0	0	0	0	-2.76902352995723	0	0	0	0	0	0	-2.52155290672995	0	0	0
ENSG00000085415	-3.06178641545164	0	-3.35467418313405	0	0	-1.66811893824841	-1.20931951309166	0	-1.2720721534772	-0.716155426822617	-1.66975822901669	-0.777253657917909	-2.27484910494379	0	0	-0.788649721798787	0	-1.12457587927799	-1.90694537517825	-2.05554482697859	-1.6505159158989	-1.41991040076378	-1.58017251266443	-1.01644137149756	0	0	0	0	0	0
ENSG00000085433	-2.82585253948022	0	-1.87070581804088	0	-4.85205412996546	-2.3548742971514	-2.13576875267162	-1.94554270098169	-3.91901466476747	0	0	-2.64879129952133	-1.03690767768485	-3.25157687795323	-1.71919817968432	-0.74776507383463	-1.65813234991447	-0.594599802144174	0	0	0	0	0	0	0	0	0	-2.39265047462555	0	-2.37463073284095
ENSG00000085449	0	0	0	0	0	0	-0.699287958581139	-1.94785888626558	-0.784814202761771	-1.20144848449175	-3.74100772679396	-1.22501150213433	0	-1.49798886645433	-3.37187840743185	0	0	0	-1.85657909612642	-3.03823625245101	-1.80076843906946	0	0	0	0	0	0	0	0	0
ENSG00000085491	0	0	0	0	0	0	0	0	0	0	0	0	-0.52592773712341	-4.20201776517619	-1.85064518323744	-1.00698881396552	0	-1.24034939477943	-3.14063694852004	0	-3.15781009895889	0	0	-3.20612609308556	0	0	0	0	0	0
ENSG00000085511	0	0	0	-7.73741868015855	0	0	-1.9778922422218	-1.32409714623297	0	0	0	0	-2.0740841345508	0	-3.93162517203947	0	0	0	-2.34704681846776	-2.78145172814361	-2.15810482536392	0	0	0	0	0	0	0	0	0
ENSG00000085832	-4.3252700216681	-2.00413346863912	-1.882255534115	-2.02383329016947	-2.5115815972284	-1.57440478559775	0	-2.07954336052778	-3.4555888358287	0	-2.87241254582822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.04605640793487	-1.46411718791056	-2.01954655642328	-2.3779279402348	-1.84873639019039
ENSG00000085978	0	-4.12904167392298	0	-2.94148422061592	0	0	-2.32574476172463	-4.57055746213325	0	-1.66486829257155	0	0	0	0	0	0	-3.7768604507532	0	-2.82660229504493	-2.83442166326925	-2.14051052427082	-1.90102739098797	0	-3.84770947826555	-1.5827669573659	-2.40932585656368	0	-1.86107829795687	-1.58530152320118	0
ENSG00000086015	-0.745433150969168	-0.402457533533679	-0.808367372965382	-0.456495040542221	-2.20099830583131	-0.955186506506915	-1.33306015103647	-1.77481570354832	-2.2036032581277	0	0	0	-1.82833151141277	-2.42511210236575	-1.36916490077551	-2.26865989088834	-1.67684520416696	0	0	-1.32498045729445	-3.78131992417115	0	0	0	-2.20926502220636	0	-2.47068609103313	-3.0910659834637	-1.43383700935261	-1.46177399851092
ENSG00000086102	0	-3.00278871777284	0	0	0	-5.51569328997981	-2.24460049000597	-3.7461893092805	-2.36896330572649	-6.09823461136114	0	-3.24171825422104	0	0	0	0	0	0	-4.56096562136149	0	-1.99543606923112	0	-2.05529792336927	0	-1.97518807458497	-3.29319178919093	-3.03437014982578	0	-3.14291639779358	-2.54265258144103
ENSG00000086189	-2.42646705997413	-4.63631364378944	-3.0997130552446	0	0	-3.13304061781446	0	0	0	-1.58419338336861	-2.24454102989025	-1.13861640796821	0	-5.31532935298564	0	-2.45201341943213	0	0	0	0	0	-1.56902500356276	-3.04832297730983	-2.22991224343439	0	0	0	0	0	0
ENSG00000086200	-1.43846047971975	-3.04581509922236	-1.92704933228056	-1.50875311495789	-1.89331073636317	-1.92473530745557	-4.02556483046703	0	0	0	0	0	-2.01024475426524	-2.88160669195927	-2.68498929056789	-1.42047478030124	-1.87814676418739	-2.61567179668898	-3.31278115367452	0	0	0	0	0	0	0	0	0	0	0
