	T0	GSK_Rep1	GSK_Rep2	DMSO_Rep1	DMSO_Rep2
AURKAIP1_+_1310564.23-P1P2	0	0	0	0	1
AURKC_-_57742432.23-P1P2	1	1	1	0	0
AURKC_-_57742487.23-P1P2	1	0	0	1	0
AUTS2_-_69063511.23-P1P2	1	1	0	1	5
AUTS2_+_69063482.23-P1P2	0	0	0	2	1
AUTS2_+_69063485.23-P1P2	0	2	0	6	1
AUTS2_+_69063903.23-P1P2	1	0	0	0	2
AVEN_+_34331211.23-P1P2	0	0	0	1	0
AVEN_+_34331300.23-P1P2	3	0	0	12	0
AVIL_-_58212540.23-P1P2	0	0	0	1	0
AVIL_+_58212405.23-P1P2	0	0	1	0	0
AVL9_-_32535140.23-P1P2	0	0	0	0	1
AVL9_+_32535187.23-P1P2	1	0	2	0	0
AVP_-_3064873.23-P1P2	1	1	1	0	0
AVP_-_3064932.23-P1P2	1	1	0	3	3
AVP_+_3064893.23-P1P2	0	0	0	1	0
AVP_+_3065135.23-P1P2	4	0	0	1	2
AVP_+_3065141.23-P1P2	0	1	0	0	0
AVPI1_-_99446663.23-P1P2	0	0	0	0	1
AVPI1_-_99446937.23-P1P2	0	1	0	0	0
AVPI1_+_99446984.23-P1P2	5	3	1	0	8
AVPR1A_+_63544503.23-P1P2	1	0	0	0	0
AVPR1A_+_63544953.23-P1P2	0	0	1	0	0
AVPR1A_+_63544956.23-P1P2	4	9	17	24	17
AVPR1B_-_206223987.23-P1P2	1	0	0	1	0
AVPR1B_+_206223995.23-P1P2	0	0	1	2	0
AVPR1B_+_206224162.23-P1P2	0	1	0	0	0
AVPR2_+_153170266.23-P1P2	1	0	0	0	0
AVPR2_+_153170553.23-P1P2	0	0	0	0	1
AVPR2_+_153170634.23-P1P2	1	0	0	0	0
AWAT1_-_69454684.23-P1P2	0	0	0	0	1
AWAT1_-_69454974.23-P1P2	0	0	0	1	0
AWAT1_+_69454525.23-P1P2	1	0	0	1	0
AWAT2_-_69269564.23-P1P2	0	0	0	2	0
AWAT2_+_69269827.23-P1P2	0	0	0	1	1
AXDND1_-_179335632.23-P1P2	0	1	0	1	2
AXDND1_+_179335249.23-P1P2	0	0	2	2	1
AXIN1_-_402631.23-P1P2	0	1	0	0	0
AXIN2_-_63556016.23-P1	5	5	1	11	2
AXIN2_-_63556400.23-P1	0	0	1	1	0
AXIN2_-_63557355.23-P2	10	0	0	0	0
AXIN2_-_63557635.23-P2	1	0	0	0	0
AXIN2_+_63556403.23-P1	0	1	0	0	0
AXIN2_+_63557648.23-P2	0	1	0	0	2
AXIN2_+_63557681.23-P2	0	0	0	0	1
AXL_-_41725144.23-P1P2	0	0	0	1	0
AXL_-_41725205.23-P1P2	0	1	0	0	3
AXL_-_41725592.23-P1P2	0	1	0	0	0
AXL_+_41725166.23-P1P2	0	0	0	0	1
AZGP1_+_99573256.23-P1P2	0	0	0	2	1
AZGP1_+_99573276.23-P1P2	0	0	0	0	1
AZI1_-_79196675.23-P1P2	0	0	1	0	0
AZI1_-_79196732.23-P1P2	0	1	0	0	0
AZI1_+_79196331.23-P1P2	1	1	0	1	0
AZIN1_-_103876356.23-P1P2	1	2	0	0	0
AZU1_-_825147.23-P2	0	0	0	0	1
AZU1_-_827900.23-P1	1	0	0	1	0
AZU1_+_825137.23-P2	0	0	0	2	0
AZU1_+_827901.23-P1	0	0	1	0	0
AZU1_+_828236.23-P1	2	0	0	2	0
B2M_-_45003947.23-P1	4	1	1	7	1
B2M_-_45008269.23-P2	29	14	27	19	31
B2M_+_45003739.23-P1	0	0	1	0	0
B2M_+_45007848.23-P2	0	0	0	1	0
B2M_+_45007852.23-P2	0	0	0	1	0
B3GALNT1_-_160822653.23-P1P2	0	1	1	0	0
B3GALNT1_-_160822659.23-P1P2	0	0	0	1	0
B3GALNT1_-_160822688.23-P1P2	0	0	0	2	0
B3GALNT1_-_160822837.23-P1P2	17	7	1	42	14
B3GALNT2_-_235667688.23-P1P2	0	0	0	3	0
B3GALNT2_-_235667692.23-P1P2	0	0	0	1	1
B3GALNT2_+_235667717.23-P1P2	12	4	19	8	15
B3GALT1_-_168725390.23-P1P2	7	20	9	48	11
B3GALT1_-_168725409.23-P1P2	1	0	1	0	1
B3GALT1_-_168725855.23-P1P2	0	0	0	1	0
B3GALT1_+_168725401.23-P1P2	3	0	0	1	9
B3GALT2_+_193155326.23-P1P2	1	0	1	1	0
B3GALT2_+_193155330.23-P1P2	0	0	1	1	0
B3GALT2_+_193155698.23-P1P2	0	0	0	1	0
B3GALT4_+_33245154.23-P1P2	0	1	0	0	0
B3GALT5_-_40928392.23-ENST00000380620.4	0	0	0	1	0
B3GALT5_-_40928430.23-ENST00000380620.4	0	0	1	1	0
B3GALT5_+_40928377.23-ENST00000380620.4	0	0	0	1	0
B3GALT5_+_41029614.23-ENST00000380618.1	12	0	9	6	6
B3GALT5_+_41029638.23-ENST00000380618.1	17	6	11	25	17
B3GALT6_-_1167635.23-P1P2	0	0	0	1	2
B3GALT6_-_1167684.23-P1P2	0	0	1	0	0
B3GALT6_+_1167824.23-P1P2	0	0	1	0	1
B3GALT6_+_1168040.23-P1P2	44	22	19	37	48
B3GALTL_-_31774119.23-P1P2	0	0	0	1	0
B3GALTL_+_31774285.23-P1P2	0	0	2	0	0
B3GALTL_+_31774549.23-P1P2	1	0	0	0	0
B3GALTL_+_31774576.23-P1P2	29	6	14	21	31
B3GAT1_-_134282102.23-P1P2	0	1	0	1	0
B3GAT2_+_71666280.23-P1P2	0	0	0	1	2
B3GAT3_-_62389247.23-P1P2	1	0	0	0	0
B3GAT3_-_62389359.23-P1P2	3	0	3	0	0
B3GAT3_-_62389362.23-P1P2	0	0	0	1	1
B3GNT1_-_66114692.23-P1P2	7	0	2	39	10
B3GNT1_-_66115054.23-P1P2	0	0	1	0	0
B3GNT1_-_66115073.23-P1P2	0	0	0	1	0
B3GNT1_+_66115055.23-P1P2	9	1	25	11	9
B3GNT1_+_66115081.23-P1P2	0	1	0	1	0
B3GNT2_+_62423331.23-P1P2	7	0	0	5	7
B3GNT2_+_62423689.23-P1P2	1	0	0	0	1
B3GNT3_-_17905692.23-P1P2	0	0	0	0	2
B3GNT3_-_17906057.23-P1P2	4	9	0	11	16
B3GNT3_-_17906388.23-P1P2	1	0	0	0	0
B3GNT3_+_17906029.23-P1P2	0	0	0	0	1
B3GNT4_+_122688264.23-P1P2	0	1	0	1	0
B3GNT4_+_122688305.23-P1P2	0	0	1	1	0
B3GNT4_+_122688662.23-P1P2	0	0	0	1	1
B3GNT5_-_182971513.23-P1P2	0	0	0	0	1
B3GNT5_-_182971524.23-P1P2	1	0	0	0	0
B3GNT5_+_182971138.23-P1P2	61	43	57	132	61
B3GNT6_-_76745477.23-P1P2	8	0	0	12	6
B3GNT6_-_76745482.23-P1P2	0	0	0	0	1
B3GNT6_-_76745822.23-P1P2	0	1	2	2	4
B3GNT7_+_232260509.23-P1P2	38	42	27	98	31
B3GNT7_+_232260864.23-P1P2	0	0	0	0	1
B3GNT7_+_232260874.23-P1P2	0	1	0	2	1
B3GNT8_-_41933516.23-P1P2	9	0	0	12	0
B3GNT8_-_41933636.23-P1P2	0	0	0	1	0
B3GNT8_-_41933860.23-P1P2	14	19	1	54	19
B3GNT9_+_67184376.23-P1P2	1	0	0	0	0
B3GNT9_+_67184412.23-P1P2	0	0	0	1	1
B3GNT9_+_67184896.23-P1P2	0	1	0	0	0
B3GNTL1_-_81009619.23-P1	0	0	0	2	0
B3GNTL1_+_81006393.23-P2	36	10	17	73	9
B3GNTL1_+_81009607.23-P1	0	0	1	0	0
B4GALNT1_-_58026889.23-P1P2	1	0	0	0	1
B4GALNT1_+_58026539.23-P1P2	4	3	18	6	4
B4GALNT1_+_58026906.23-P1P2	0	0	1	0	0
B4GALNT1_+_58026944.23-P1P2	0	0	2	0	0
B4GALNT2_+_47210572.23-P1P2	30	35	20	55	20
B4GALNT3_-_569147.23-P1P2	0	1	0	1	0
B4GALNT3_+_569325.23-P1P2	0	0	1	4	0
B4GALNT3_+_569569.23-P1P2	1	0	0	0	0
B4GALNT3_+_569584.23-P1P2	5	6	10	1	2
B4GALNT4_-_369917.23-P1P2	0	0	0	0	1
B4GALNT4_+_369888.23-P1P2	0	0	0	1	0
B4GALT1_-_33167098.23-P1P2	5	2	2	5	19
B4GALT1_-_33167114.23-P1P2	1	0	0	0	1
B4GALT1_-_33167151.23-P1P2	0	0	0	1	0
B4GALT1_+_33167161.23-P1P2	15	0	19	9	0
B4GALT2_+_44444940.23-P1P2	155	364	420	1985	1328
B4GALT2_+_44444945.23-P1P2	2	1	3	2	1
B4GALT2_+_44445388.23-P1P2	20	53	64	103	89
B4GALT2_+_44445508.23-P1P2	1	1	1	0	0
B4GALT3_-_161146827.23-P1P2	0	1	1	0	1
B4GALT3_-_161146833.23-P1P2	20	4	14	25	16
B4GALT4_-_118959700.23-P1P2	0	1	0	0	0
B4GALT4_-_118959703.23-P1P2	3	0	0	2	0
B4GALT4_-_118959706.23-P1P2	0	0	1	0	0
B4GALT4_-_118959748.23-P1P2	0	0	1	0	1
B4GALT5_-_48329925.23-P1P2	0	1	0	0	1
B4GALT5_-_48330046.23-P1P2	0	0	0	1	0
B4GALT5_-_48330421.23-P1P2	0	0	0	0	1
B4GALT5_+_48329986.23-P1P2	10	19	72	91	48
B4GALT6_-_29264320.23-P1P2	12	5	9	2	6
B4GALT6_-_29264499.23-P1P2	1	0	0	0	0
B4GALT6_+_29264114.23-P1P2	0	0	0	1	0
B4GALT7_+_177027199.23-P1P2	61	27	70	98	55
B4GALT7_+_177027204.23-P1P2	0	1	0	0	3
B4GALT7_+_177027555.23-P1P2	0	0	0	2	0
B9D1_-_19265895.23-P1P2	114	80	121	368	205
B9D1_-_19265964.23-P1P2	85	97	241	150	160
B9D1_-_19266066.23-P1P2	0	0	1	0	0
BAALC_-_104152961.23-P1P2	10	2	25	6	0
BAALC_-_104153373.23-P1P2	1	0	0	0	0
BAALC_+_104153027.23-P1P2	0	0	0	1	0
BAAT_-_104147077.23-P1	17	2	2	0	12
BAAT_-_104147285.23-P1	0	1	0	2	0
BAAT_+_104145806.23-P2	1	0	8	0	0
BAAT_+_104147152.23-P1	0	1	0	0	0
BAAT_+_104147278.23-P1	0	0	0	0	1
BABAM1_-_17378278.23-P1P2	0	1	0	0	0
BACE1_+_117186913.23-P1P2	0	0	1	0	0
BACE2_-_42540506.23-P1P2	0	0	0	5	2
BACH1_-_30671281.23-P1P2	0	1	1	0	0
BACH1_-_30671373.23-P1P2	1	1	0	0	2
BACH1_+_30671691.23-P1P2	0	0	0	0	1
BACH1_+_30671725.23-P1P2	0	0	0	1	0
BACH2_-_91006296.23-P1P2	0	1	0	2	0
BACH2_-_91006316.23-P1P2	0	0	0	0	1
BACH2_-_91006333.23-P1P2	1	0	0	1	1
BACH2_-_91006500.23-P1P2	0	0	0	0	2
BACH2_+_91006348.23-P1P2	0	0	0	0	1
BAD_+_64051936.23-P1P2	3	0	0	0	0
BAD_+_64052039.23-P1P2	2	1	3	1	1
BAD_+_64052108.23-P1P2	7	5	8	70	19
BAD_+_64052144.23-P1P2	14	3	1	9	11
BAG1_-_33264226.23-P1P2	9	0	0	0	0
BAG1_+_33264334.23-P1P2	3	1	2	8	5
BAG2_+_57037166.23-P1P2	0	0	0	2	2
BAG2_+_57037207.23-P1P2	1	0	0	0	0
BAG2_+_57037523.23-P1P2	0	1	0	0	0
BAG3_-_121411089.23-P1P2	0	0	0	1	0
BAG3_-_121411132.23-P1P2	0	1	0	0	0
BAG3_-_121411333.23-P1P2	0	0	0	1	1
BAG3_+_121411558.23-P1P2	0	0	0	0	1
BAG4_-_38034802.23-P1P2	0	0	0	1	2
BAG4_+_38034416.23-P1P2	8	17	23	3	7
BAG4_+_38034429.23-P1P2	0	0	0	0	1
BAG4_+_38034831.23-P1P2	0	0	1	3	1
BAG5_-_104028929.23-P1P2	0	0	0	0	1
BAG5_+_104028595.23-P1P2	0	0	0	1	0
BAHCC1_-_79373764.23-P1P2	3	0	0	3	1
BAHCC1_+_79373353.23-P1P2	0	1	0	0	1
BAHCC1_+_79373376.23-P1P2	1	0	1	1	1
BAHD1_-_40733549.23-P1P2	40	93	247	450	184
BAHD1_-_40733629.23-P1P2	0	0	0	2	1
BAI1_-_143531298.23-P1P2	0	0	0	2	0
BAI1_-_143531483.23-P1P2	0	0	0	1	0
BAI2_+_32229554.23-P1P2	0	0	0	1	0
BAI3_+_69345275.23-P1P2	3	0	0	0	8
BAI3_+_69345458.23-P1P2	6	0	12	4	20
BAI3_+_69345564.23-P1P2	12	23	18	38	20
BAIAP2_+_79008984.23-P1P2	0	0	1	0	1
BAIAP2_+_79009018.23-P1P2	0	1	0	1	0
BAIAP2_+_79009136.23-P1P2	0	0	1	0	0
BAIAP2L1_-_98030007.23-P1P2	0	2	5	0	11
BAIAP2L1_-_98030202.23-P1P2	0	0	0	1	0
BAIAP2L1_-_98030377.23-P1P2	0	0	0	0	2
BAIAP2L1_+_98030294.23-P1P2	0	0	1	0	0
BAIAP2L2_-_38484895.23-P1	0	0	0	1	0
BAIAP2L2_-_38484934.23-P1	0	1	0	1	1
BAIAP2L2_-_38506547.23-P2	1	1	0	1	2
BAIAP2L2_+_38506480.23-P2	0	0	1	2	0
BAIAP2L2_+_38506609.23-P2	0	0	0	1	0
BAIAP3_-_1383782.23-P1P2	16	3	25	27	1
BAIAP3_-_1384928.23-P1P2	0	0	0	1	0
BAIAP3_+_1383745.23-P1P2	0	0	0	0	1
BAK1_-_33547674.23-P1P2	0	0	0	1	0
BAK1_-_33548010.23-P1P2	1	0	0	0	2
BAK1_+_33548004.23-P1P2	4	8	0	0	5
BANF1_-_65770396.23-P1P2	12	17	46	1	8
BANF1_+_65770320.23-P1P2	1	0	0	0	0
BANF1_+_65770416.23-P1P2	0	1	0	0	0
BANF2_-_17680652.23-P1P2	8	0	7	0	9
BANF2_-_17680972.23-P1P2	0	0	0	0	1
BANF2_-_17681113.23-P1P2	0	0	0	2	0
BANF2_+_17681051.23-P1P2	11	0	11	0	5
BANK1_-_102712131.23-P1P2	0	2	0	0	1
BAP1_+_52443548.23-P1P2	35	30	6	66	31
BARD1_-_215674348.23-P1P2	0	0	1	0	0
BARD1_-_215674358.23-P1P2	0	2	1	2	0
BARD1_+_215674388.23-P1P2	0	0	0	0	1
BARD1_+_215674399.23-P1P2	0	0	0	0	1
BARHL1_-_135458047.23-P1P2	4	0	11	6	0
BARHL1_-_135458064.23-P1P2	0	1	0	0	1
BARHL2_-_91182295.23-P1P2	0	1	0	0	0
BARHL2_-_91182582.23-P1P2	8	0	0	0	4
BARHL2_+_91182663.23-P1P2	0	1	0	1	0
BARX1_-_96717209.23-P1P2	0	0	0	1	1
BARX1_-_96717212.23-P1P2	4	0	0	0	0
BARX1_+_96717195.23-P1P2	0	0	1	0	0
BARX1_+_96717204.23-P1P2	11	8	27	5	13
BARX1_+_96717617.23-P1P2	10	19	2	1	3
BARX2_-_129245560.23-P1P2	6	3	1	1	2
BARX2_-_129245563.23-P1P2	0	0	0	1	1
BARX2_+_129245577.23-P1P2	16	9	5	20	23
BARX2_+_129245580.23-P1P2	0	0	0	1	0
BARX2_+_129245920.23-P1P2	13	0	1	0	0
BASP1_-_17217782.23-P1P2	16	55	43	128	7
BASP1_+_17217775.23-P1P2	3	0	0	2	0
BASP1_+_17217799.23-P1P2	0	0	1	0	0
BASP1_+_17217802.23-P1P2	0	0	0	1	2
BATF_-_75988883.23-P1P2	0	1	0	0	0
BATF_-_75989205.23-P1P2	0	0	0	1	1
BATF_+_75988828.23-P1P2	0	1	1	1	2
BATF2_-_64764380.23-P1P2	0	0	0	0	2
BATF2_-_64764396.23-P1P2	1	0	0	1	1
BATF2_-_64764399.23-P1P2	1	0	0	1	0
BATF3_+_212872869.23-P1P2	0	0	1	0	0
BATF3_+_212873228.23-P1P2	4	6	0	0	4
BAZ1A_-_35344106.23-P1P2	2	9	0	4	2
BAZ1A_+_35344068.23-P1P2	24	18	29	138	57
BAZ1B_-_72936238.23-P1P2	1	0	0	0	0
BAZ1B_-_72936561.23-P1P2	0	0	0	1	0
BAZ1B_+_72936205.23-P1P2	1	0	0	0	0
BAZ2A_-_57024103.23-P1	2	0	0	0	0
BAZ2A_-_57029709.23-P2	0	1	0	0	0
BAZ2A_-_57030140.23-P2	0	0	2	1	0
BAZ2A_+_57023850.23-P1	0	0	0	1	0
BAZ2A_+_57024085.23-P1	1	0	0	0	0
BAZ2A_+_57029780.23-P2	0	1	0	0	0
BAZ2A_+_57029894.23-P2	0	1	0	0	0
BAZ2A_+_57029964.23-P2	0	0	1	0	0
BAZ2B_-_160471794.23-P1P2	11	2	4	10	13
BAZ2B_-_160472590.23-P1P2	0	0	0	1	0
BAZ2B_-_160472605.23-P1P2	1	0	0	1	0
BBC3_-_47734192.23-P1P2	5	6	3	1	4
BBC3_+_47734011.23-P1P2	18	10	21	26	24
BBC3_+_47734383.23-P1P2	0	0	1	0	0
BBIP1_-_112678448.23-P1P2	0	0	1	0	0
BBIP1_-_112678932.23-P1P2	0	0	0	0	1
BBOX1_-_27063410.23-P2	0	0	0	1	0
BBOX1_-_27063414.23-P2	0	0	2	2	2
BBOX1_+_27062979.23-P2	0	0	0	1	0
BBS1_+_66278063.23-P1P2	0	0	0	2	2
BBS1_+_66278555.23-P1P2	2	0	0	2	1
BBS10_-_76741979.23-P1P2	0	0	0	0	1
BBS10_-_76742199.23-P1P2	11	12	0	24	0
BBS10_-_76742203.23-P1P2	0	0	0	1	0
BBS10_+_76742151.23-P1P2	0	0	0	0	1
BBS12_-_123653925.23-P1P2	0	0	0	1	0
BBS12_-_123653932.23-P1P2	0	0	0	1	0
BBS12_-_123653946.23-P1P2	1	0	0	0	0
BBS12_+_123654293.23-P1P2	22	14	59	91	15
BBS2_+_56553918.23-P1P2	0	0	0	1	0
BBS4_-_72978714.23-P1P2	1	0	0	1	0
BBS4_+_72978743.23-P1P2	8	35	16	65	12
BBS5_-_170335982.23-P1P2	1	0	0	0	0
BBS5_+_170336349.23-P1P2	0	2	1	1	0
BBS5_+_170336358.23-P1P2	0	0	0	1	1
BBS7_-_122791556.23-P1P2	0	2	1	1	1
BBS9_-_33169627.23-P1P2	0	0	0	0	2
BBS9_+_33169237.23-P1P2	0	0	0	1	0
BBS9_+_33169550.23-P1P2	0	0	0	0	1
BBX_-_107241847.23-P1P2	1	0	0	0	1
BBX_-_107241850.23-P1P2	0	0	1	1	0
BBX_+_107241894.23-P1P2	0	4	1	3	0
BCAM_-_45312402.23-P1P2	7	5	0	0	0
BCAM_-_45312592.23-P1P2	0	0	0	2	0
BCAM_+_45312370.23-P1P2	1	0	1	2	0
BCAM_+_45312387.23-P1P2	0	0	1	0	0
BCAN_-_156612006.23-P1P2	0	1	1	0	1
BCAN_+_156612057.23-P1P2	1	0	0	2	0
BCAN_+_156612323.23-P1P2	10	0	0	4	0
BCAP29_+_107220707.23-P1P2	0	0	0	2	0
BCAP29_+_107220762.23-P1P2	0	0	0	1	0
BCAP29_+_107221060.23-P1P2	16	2	5	19	0
BCAP31_-_152989390.23-P1P2	1	5	0	3	26
BCAP31_-_152989425.23-P1P2	0	0	0	1	0
BCAP31_+_152989795.23-P1P2	10	12	13	13	9
BCAR1_-_75285130.23-P1	8	1	1	0	14
BCAR1_-_75285241.23-P1	0	0	0	1	1
BCAR1_-_75299639.23-P2	15	2	1	0	0
BCAR1_+_75285293.23-P1	8	3	6	34	8
BCAR1_+_75285561.23-P1	1	0	0	0	0
BCAR1_+_75299843.23-P2	9	1	2	39	14
BCAR3_-_94146931.23-P1	0	0	0	0	1
BCAR3_-_94147159.23-P1	3	3	0	6	0
BCAR3_-_94312743.23-P2	23	46	29	65	28
BCAR3_+_94146953.23-P1	2	1	9	3	0
BCAR3_+_94312767.23-P2	0	0	0	0	1
BCAS1_+_52687046.23-ENST00000395961.3	0	0	1	0	3
BCAS2_-_115123835.23-P1P2	6	0	2	8	0
BCAS2_+_115123990.23-P1P2	0	1	0	0	0
BCAS3_-_58755198.23-P1P2	13	23	5	39	16
BCAS3_-_58755638.23-P1P2	0	0	0	0	1
BCAS3_-_58755641.23-P1P2	115	821	1217	2269	1469
BCAS3_+_58755272.23-P1P2	0	0	0	0	1
BCAS4_+_49411612.23-P1P2	0	0	0	1	0
BCAS4_+_49411961.23-P1P2	1	0	0	0	0
BCAT1_-_25101902.23-P1P2	0	0	0	1	0
BCAT1_-_25101990.23-P1P2	0	0	0	1	0
BCAT2_+_49313857.23-P1P2	0	1	0	0	0
BCAT2_+_49314196.23-P1P2	8	13	6	4	5
BCAT2_+_49314243.23-P1P2	0	0	2	0	0
BCCIP_+_127512133.23-P1P2	0	0	0	1	0
BCCIP_+_127512184.23-P1P2	7	1	3	1	4
BCHE_-_165555002.23-P1P2	1	0	0	0	0
BCHE_-_165555172.23-P1P2	0	1	0	0	1
BCHE_+_165554826.23-P1P2	0	1	0	0	0
BCKDHA_-_41903738.23-P1	0	0	1	0	0
BCKDHA_-_41903764.23-P1	0	0	0	1	1
BCKDHA_+_41903773.23-P1	1	0	0	0	0
BCKDHB_-_80816400.23-P1P2	0	0	0	0	2
BCKDHB_-_80816409.23-P1P2	0	0	1	1	0
BCKDHB_-_80816464.23-P1P2	0	0	2	1	1
BCKDK_-_31119715.23-P1P2	0	0	0	1	0
BCKDK_-_31120143.23-P1P2	0	0	0	0	1
BCKDK_+_31119819.23-P1P2	1	1	1	1	4
BCKDK_+_31119948.23-P1P2	0	0	0	1	0
BCKDK_+_31120200.23-P1P2	0	0	0	1	0
BCL10_+_85741886.23-P1P2	20	12	10	12	11
BCL10_+_85741912.23-P1P2	12	5	0	5	1
BCL10_+_85742220.23-P1P2	0	1	0	0	0
BCL10_+_85742223.23-P1P2	21	33	23	2	25
BCL11A_-_60780410.23-P1P2	0	0	0	2	0
BCL11A_-_60780497.23-P1P2	14	0	14	11	1
BCL11A_-_60780590.23-P1P2	11	3	19	0	9
BCL11A_-_60780738.23-P1P2	3	7	2	0	5
BCL11B_-_99737696.23-P1P2	0	0	0	1	0
BCL11B_+_99737681.23-P1P2	3	0	0	0	8
BCL2A1_-_80263494.23-P1P2	0	0	0	2	0
BCL2A1_+_80263112.23-P1P2	1	0	0	1	0
BCL2A1_+_80263124.23-P1P2	0	0	0	2	2
BCL2L1_-_30311293.23-P2	0	1	0	1	1
BCL2L1_-_30311524.23-P2	1	0	1	0	0
BCL2L1_+_30310660.23-P1	0	0	0	0	1
BCL2L10_-_52404672.23-P1P2	0	0	1	2	2
BCL2L11_-_111878528.23-P1	0	0	0	1	0
BCL2L11_-_111878832.23-P1	1	0	1	0	0
BCL2L11_-_111878913.23-P1	21	40	70	767	36
BCL2L11_-_111878923.23-P1	0	0	0	1	0
BCL2L11_-_111880300.23-P2	0	0	0	0	1
BCL2L12_-_50169277.23-P1P2	13	21	12	16	23
BCL2L12_-_50169295.23-P1P2	18	109	55	34	47
BCL2L12_-_50169298.23-P1P2	0	0	0	1	1
BCL2L13_-_18121565.23-P1P2	0	0	0	1	0
BCL2L13_+_18121555.23-P1P2	0	0	0	0	1
BCL2L13_+_18121577.23-P1P2	0	0	0	1	0
BCL2L14_-_12203178.23-P2	1	0	3	0	0
BCL2L14_-_12203197.23-P2	0	0	0	1	0
BCL2L14_-_12223919.23-P1	7	1	1	2	1
BCL2L14_-_12224084.23-P1	22	21	79	43	2
BCL2L14_+_12224087.23-P1	0	0	0	1	0
BCL2L14_+_12224098.23-P1	0	1	1	0	0
BCL2L15_-_114429857.23-P1P2	0	0	0	2	0
BCL2L15_-_114430171.23-P1P2	0	0	0	0	1
BCL2L15_-_114430206.23-P1P2	12	5	0	0	0
BCL2L15_+_114430094.23-P1P2	4	1	0	13	0
BCL3_-_45252353.23-P1P2	1	0	0	0	0
BCL3_+_45251993.23-P1P2	3	2	8	7	3
BCL6_-_187462973.23-P1P2	1	0	0	0	0
BCL6B_-_6926363.23-P1P2	0	0	0	1	1
BCL6B_-_6926466.23-P1P2	0	0	0	0	1
BCL6B_-_6926629.23-P1P2	17	29	19	2	2
BCL6B_-_6926820.23-P1P2	0	1	0	0	0
BCL7A_-_122459961.23-P1P2	0	3	2	0	14
BCL7A_+_122460253.23-P1P2	0	0	1	0	0
BCL7A_+_122460290.23-P1P2	0	0	0	1	0
BCL7B_-_72971429.23-P1P2	0	0	0	1	0
BCL7B_-_72971550.23-P1P2	0	1	0	0	0
BCL7B_-_72971912.23-P1P2	4	1	0	0	3
BCL7B_+_72971996.23-P1P2	0	0	0	1	0
BCL7C_+_30905135.23-P1P2	34	1	0	45	44
BCL7C_+_30905369.23-P1P2	1	0	0	0	1
BCL7C_+_30905372.23-P1P2	0	0	0	3	1
BCL9_+_147013306.23-P1P2	0	1	0	1	0
BCL9L_+_118796587.23-P1P2	1	0	0	3	0
BCL9L_+_118796604.23-P1P2	1	1	1	0	1
BCL9L_+_118796622.23-P1P2	50	350	475	753	303
BCLAF1_-_136610528.23-P1P2	13	5	11	0	1
BCLAF1_+_136610894.23-P1P2	1	0	0	0	0
BCLAF1_+_136610946.23-P1P2	0	1	0	0	0
BCMO1_-_81272314.23-P1P2	3	0	0	0	2
BCMO1_-_81272326.23-P1P2	0	0	0	1	0
BCMO1_-_81272402.23-P1P2	0	0	1	1	1
BCMO1_+_81272309.23-P1P2	4	5	2	4	1
BCO2_+_112046232.23-P1P2	51	61	326	261	224
BCO2_+_112046367.23-P1P2	4	0	2	12	2
BCO2_+_112046387.23-P1P2	94	220	253	1161	674
BCOR_-_39956772.23-P1P2	38	19	56	0	21
BCOR_+_39956834.23-P1P2	1	2	0	6	0
BCOR_+_39957177.23-P1P2	18	16	3	47	15
BCOR_+_39957197.23-P1P2	11	2	6	15	14
BCORL1_-_129116753.23-P1P2	0	1	0	0	0
BCORL1_-_129116761.23-P1P2	0	0	0	1	0
BCORL1_-_129117014.23-P1P2	0	0	1	0	0
BCORL1_+_129116604.23-P1P2	7	29	14	11	18
BCR_-_23522662.23-P1P2	38	26	18	61	65
BCR_-_23523163.23-P1P2	0	0	0	0	1
BCR_+_23522602.23-P1P2	1	0	1	0	0
BCR_+_23523092.23-P1P2	0	1	0	1	0
BCR_+_23523145.23-P1P2	0	0	0	0	1
BCS1L_-_219524466.23-P1P2	0	0	0	0	1
BCS1L_-_219524474.23-P1P2	0	0	0	0	1
BDH1_-_197282430.23-P1	0	0	1	1	0
BDH1_-_197300158.23-P2	1	0	0	0	0
BDH1_+_197282785.23-P1	0	0	1	0	0
BDH1_+_197282821.23-P1	0	1	0	1	1
BDH1_+_197300005.23-P2	0	1	1	0	0
BDH2_-_104020565.23-P1P2	0	0	0	0	1
BDH2_+_104020603.23-P1P2	0	0	1	0	0
BDH2_+_104020886.23-P1P2	13	1	0	8	0
BDKRB1_+_96722599.23-P1P2	0	1	0	0	1
BDKRB1_+_96722943.23-P1P2	11	7	1	0	0
BDKRB2_-_96671212.23-P1P2	1	1	0	0	0
BDKRB2_-_96671258.23-P1P2	0	0	0	0	1
BDKRB2_+_96671243.23-P1P2	0	0	0	0	1
BDNF_-_27721594.23-P1P2	0	0	0	1	0
BDNF_+_27721764.23-P1P2	0	0	0	1	0
BDP1_-_70751527.23-P1P2	0	1	0	0	0
BECN1_-_40976072.23-P1P2	0	0	0	1	0
BECN1_-_40976217.23-P1P2	1	2	0	0	0
BECN1_+_40976253.23-P1P2	4	0	0	0	0
BEGAIN_-_101014000.23-P2	0	0	0	0	1
BEGAIN_+_101053258.23-P1	0	0	0	1	0
BEGAIN_+_101053274.23-P1	0	0	0	0	1
BEND2_+_18238535.23-P1P2	0	0	0	1	0
BEND2_+_18238546.23-P1P2	0	0	0	0	1
